"All","Alle"
"Currently Used For","Momenteel gebruikt voor"
"Template Name","Template naam"
"Template Subject","Template onderwerp"
"Insert Variable...","Variabele waarde invoegen..."
"Template Content","Template inhoud"
"Template Styles","Template Stijl"
"Preview","Voorbeeld"
"Unknown","Onbekend"
"You deleted the email template.","Je hebt het e-mail sjabloon verwijderd."
"The email template is currently being used.","Het e-mail sjabloon wordt momenteel gebruikt."
"We can't delete email template data right now. Please review log and try again.","Wij kunnen de e-mail sjabloongegevens nu niet verwijderen. Controleer het logboek en probeer het opnieuw."
"We can't find an email template to delete.","We vinden kunnen het e-mail sjabloon om te verwijderen niet vinden."
"Edit Template","Template bewerken"
"Edit System Template","Systeem-sjabloon bewerken"
"New Template","Nieuw sjabloon"
"New System Template","Nieuw systeem-sjabloon"
"Email Templates","E-mailsjablonen"
"Email Preview","Voorvertoning E-mail"
"An error occurred. The email template can not be opened for preview.","Er is een fout opgetreden. De e-mailtemplate kan niet worden geopend als voorvertoning."
"This email template no longer exists.","Dit e-mail-sjabloon bestaat niet meer."
"You saved the email template.","U hebt de e-mailtemplate opgeslagen."
"Area is already set","Gebied is al ingesteld"
"Design config must have area and store.","Ontwerp configuratie moet een land en winkel hebben."
"Base Unsecure URL","Onveilige basis-URL"
"Base Secure URL","Veilige basis-URL"
"General Contact Name","Algemeen contact naam"
"General Contact Email","Algemeen contact e-mail"
"Sales Representative Contact Name","Verkoop vertegenwoordiger contact naam"
"Sales Representative Contact Email","Verkoop vertegenwoordiger contact e-email"
"Custom1 Contact Name","Custom1 contact naam"
"Custom1 Contact Email","Custom1 contact e-mail"
"Custom2 Contact Name","Custom2 contact naam"
"Custom2 Contact Email","Custom2 contact e-mail"
"Store Name","Winkelnaam"
"Store Phone Number","Winkel telefoonnummer"
"Store Hours","Winkeluren"
"Country","Land"
"Region/State","Provincie"
"Zip/Postal Code","Postcode"
"City","Plaats"
"Street Address 1","Adresregel 1"
"Street Address 2","Adresregel 1"
"VAT Number","Belasting nummer"
"Store Contact Information","Contactinformatie"
"%1","%1"
"Template Variables","Templatevariabelen"
"Please enter a template name.","Voer een sjabloonnaam in."
"Duplicate Of Template Name","Kopie van sjabloon-naam"
"Invalid transactional email code: %1","Ongeldige transactionele email code: %1"
"Requested invalid store ""%1""","Ongeldige winkel opgevraagd ""%s1"
"""file"" parameter must be specified","""bestand"" parameter moet worden opgegeven"
"Contents of %s could not be loaded or is empty","Inhoud van %s kan niet worden geladen of is leeg"
"""file"" parameter must be specified and must not be empty","""bestand"" parameter moet worden opgegeven en kan niet leeg zijn"
"Design params must be set before calling this method","Ontwerp params moet worden ingesteld voordat u deze methode aanroept"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining fout:"
"Error filtering template: %s","Fout filteren sjabloon: %s"
"We're sorry, an error has occurred while generating this content.","Er is een fout opgetreden bij het genereren van deze content."
"Invalid sender data","Ongeldige gegevens afzender"
"Title","Titel"
"Load default template","Standaard-sjabloon laden"
"Template","Template"
"Are you sure you want to strip tags?","Weet u zeker dat u tags wilt strippen?"
"Are you sure you want to delete this template?","Weet u zeker dat u dit sjabloon wilt verwijderen?"
"The template did not load. Please review the log for details.","De sjabloon niet is geladen. Controleer het logboek voor meer informatie."
"Footer","Footer"
"Thank you, %store_name","Dank u, %store_name"
"Header","Header"
"Communications","Communicatie"
"No Templates Found","Geen sjablonen gevonden"
"ID","ID"
"Added","Toegevoegd"
"Updated","Bijgewerkt"
"Subject","Onderwerp"
"Template Type","Template soort"
"Action","Actie"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Toegestane bestand types: jpg, jpeg, gif, png. Om een logo te optimalizeren voor hoge resolutie schermen, upload een afbeelding die 3x zo groot is en specifieer vervolgens 1x de dimensies in de breedte/hoogte velden."
"Logo Image","Logo afbeelding"
"Logo Image Alt","Alt-tekst logo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Enkkel verplicht als u hierboven een afbeelding heeft geupload. Geeft het aantal pixels in, zonder ""px"" toe te voegen."
"Logo Width","Logo breedte"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Enkkel verplicht als u hierboven een afbeelding heeft geupload. Geeft het aantal pixels in, zonder ""px"" toe te voegen."
"Logo Height","Logo hoogte"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Header Template","Koptekst sjabloon"
"Footer Template","Voettekst sjabloon"
"Change Encryption Key","Verander encryptiesleutel"
"Encryption Key","Encryptiesleutel"
"New Encryption Key","Nieuwe encryptiesleutel"
"The encryption key is used to protect passwords and other sensitive data.","De encryptiesleutel wordt gebruikt om wachtwoorden en andere gevoelige gegevens te beveiligen."
"Auto-generate a Key","Automatisch een encryptiesleutel genereren"
"No","Nee"
"Yes","Ja"
"The generated key will be displayed after changing.","De gegenereerde encryptiesleutel wordt weergegeven na het veranderen."
"New Key","Nieuwe encryptiesleutel"
"Deployment configuration file is not writable.","Deployment configuratiebestand is niet schrijfbaar."
"Please enter an encryption key.","Vul een encryptiesleutel in."
"The encryption key has been changed.","De encryptiesleutel is veranderd."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Dit is uw nieuwe encryptiesleutel: %1. Zorg ervoor dat u deze opschrijft en er goed voor zorgt."
"Manage Encryption Key","Beheer Encryptie sleutel"
"Private Sales","Privé verkoop"
"Payment Type","Betaal soort"
"Transaction Type","Transactietype"
"Transaction ID","Transactie-ID"
"BeagleScore","BeagleScore"
"CVV Verification","CVV verificatie"
"Address Verification","Adres verificatie"
"Email Verification","E-mail verificatie"
"Mobile Verification","06-Verificatie"
"Phone Verification","Verificatie via telefoon"
"Card number","Kaartnummer"
"Expiration Date","Vervaldatum"
"Response Code","Responscode"
"Fraud Message","Bericht van fraude"
"Approve Message","Bericht goedkeuren"
"Sorry, but something went wrong","Er ging iets mis"
"Wrong response type","Verkeerd antwoord type"
"Authorize Only","Alleen toestemming verlenen"
"Authorize and Capture","Authoriseer en Capture"
"Credit Card Type","Creditcard-maatschappij"
"Credit Card Number","Creditcard-nummer"
"Card Verification Number","Verificatienummer"
"eWAY","eWAY"
"Enabled","Ingeschakeld"
"Connection Type","Verbindingstype"
"Title","Titel"
"Sandbox Mode","Sandbox Mode"
"Live API Key","Live API-sleutel"
"Live API Password","Live API wachtwoord"
"Live Client-side Encryption Key","Live Client-side coderingssleutel"
"Sandbox API Key","Sandbox-API-sleutel"
"Sandbox API Password","Sandbox-API wachtwoord"
"Sandbox Client-side Encryption Key","Sandbox Client-side coderingssleutel"
"Payment Action","Betaling"
"Debug","Debug"
"Credit Card Types","Creditcard-maatschappij"
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Sort Order","Sorteervolgorde"
"Europe First Priority","Europa hoogste prioriteit"
"1 Day Freight","24 uurs zending"
"2 Day Freight","48 uurs zending"
"2 Day","2 Day"
"2 Day AM","2 Day AM"
"3 Day Freight","72 uur (vracht)"
"Express Saver","Express voordeeltarief"
"Ground","Grond vervoer"
"First Overnight","Deze nacht"
"Home Delivery","Thuisaflevering"
"International Economy","Internationaal Economy"
"Intl Economy Freight","Int. Economy Freight"
"International First","Internationaal First"
"International Ground","International Ground"
"International Priority","Internationaal Priority"
"Intl Priority Freight","Int. Priority Freight"
"Priority Overnight","Priority Overnight"
"Smart Post","Smart Post"
"Standard Overnight","Standaard vannacht"
"Freight","Freight"
"National Freight","National Freight"
"Regular Pickup","Regular Pickup"
"Request Courier","Request Courier"
"Drop Box","Drop box"
"Business Service Center","Business Service Center"
"Station","Status"
"FedEx Envelope","FedEx enveloppe"
"FedEx Pak","FedEx pakket"
"FedEx Box","FedEx doos"
"FedEx Tube","FedEx koker"
"FedEx 10kg Box","FedEx 10kg doos"
"FedEx 25kg Box","FedEx 25kg doos"
"Your Packaging","Uw verpakking"
"Not Required","Not Required"
"Adult","Adult"
"Direct","Direct"
"Indirect","Indirect"
"Pounds","500 gram"
"Kilograms","Kilogram"
"Invalid response from carrier","Ongeldige reactie van vervoerder"
"No available tracking items","Geen tracking-items beschikbaar"
"For some reason we can't retrieve tracking info right now.","Om een of andere reden kunnen we nu geen tracking info ophalen."
"status","status"
"Empty response","Leeg antwoord"
"None","Geen"
"Field","Veld"
"is required.","is verplicht."
"FedEx","FedEx"
"Enabled for Checkout","Ingeschakeld bij Afrekenen"
"Title","Titel"
"Account ID","Klant-ID"
"Please make sure to use only digits here. No dashes are allowed.","Gebruik alleen cijfers. Streepjes zijn niet toegestaan."
"Meter Number","Meter Number"
"Key","Sleutel"
"Password","Wachtwoord"
"Sandbox Mode","Sandbox Mode"
"Web-Services URL (Production)","Web-Services URL (productie)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Packages Request Type"
"Packaging","Verpakking"
"Dropoff","Dropshipment"
"Weight Unit","Gewichtseenheid"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum pakketgewicht (Vraag uw transportbedrijf naar het maximaal toegestane pakketgewicht)"
"Calculate Handling Fee","Verzendkosten berekenen"
"Handling Applied","Verwerkingskosten toegepast"
"Handling Fee","Verwerkingskosten"
"Residential Delivery","Particulier adres"
"Allowed Methods","Toegestane methodes"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
"Free Method","Gratis methode"
"Enable Free Shipping Threshold","Gratis verzending drempel inschakelen"
"Free Shipping Amount Threshold","Maximaal bedrag voor gratis verzending"
"Displayed Error Message","Weergegeven foutmelding"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Debug","Debug"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Sort Order","Sorteervolgorde"
"Gift Card Information","Cadeau kaartinformatie"
"Virtual","Virtuele"
"Physical","Fysiek"
"Combined","Gecombineerd"
"Add Amount","Bedrag toevoegen"
"All Websites","Alle Websites"
"Gift Card Type","Cadeau kaarttype"
"Gift Card Sender","Cadeau kaart afzender"
"Gift Card Recipient","Geadresseerde van cadeau-kaart"
"Gift Card Message","Cadeau kaart bericht"
"Gift Card Lifetime","Cadeaubon geldig tot:"
"Yes","Ja"
"No","Nee"
"Gift Card Is Redeemable","Cadeaubon is inwisselbaar"
"We cannot create this gift card.","We kunnen deze cadeaubon niet aanmaken."
"N/A","n.v.t."
"Gift Card Accounts","Cadeaubon Accounts"
"Duplicate amount found.","Duplicaat bedrag gevonden"
"Something went wrong while preparing the gift card.","Er ging iets mis bij het aanmaken van de cadeaubon."
"Please specify a gift card amount.","Geef een bedrag voor de cadeaubon op."
"Please specify all the required information.","Geef alle vereiste informatie op."
"Gift Card max amount is %1","Maximum bedrag voor de cadeaubon is %1"
"Gift Card min amount is %1","Minimale bedrag voor de cadeaubon is %1"
"Please specify a recipient name.","Geef de geadresseerde's naam op."
"Please specify a sender name.","Geef de naam van de afzender op."
"Please specify a recipient email.","Geef de geadresseerde's e-mailadres op."
"Please specify a sender email.","Geef een afzender e-mailadres op."
"Ordered","Besteld"
"Invoiced","Gefactureerd"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Een aantal cadeaubon rekeningen werden niet aangemaakt. U kunt <a href=""%1"">hier</a> manueel cadeaubon rekeningen aanmaken."
"Amount","Aantal"
"To","Aan"
"Treat Balance as Store Credit","Is het saldo gelijk aan de winkel saldo"
"[GLOBAL]","[GLOBAAL]"
"Use Config Settings","Gebruik configuratiewaarden"
"Lifetime (days)","Levensduur (dagen)"
"Allow Message","Bericht toestaan"
"[STORE VIEW]","[WINKELAANZICHT]"
"Email Template","E-mail template"
"All Websites [%1]","Alle Websites [%1]"
"%1 [%2]","%1 %2"
"Availability:","Beschikbaarheid:"
"Out of stock","Niet op voorraad"
"Choose an Amount...","Kies een bedrag..."
"Other Amount...","Andere bedrag..."
"Amount in %1","Bedrag in %1"
"Minimum","Minimum"
"Maximum","Maximum"
"Sender Name","Naam afzender"
"Sender Email","Afzender E-mailadres"
"Recipient Name","Naam geadresseerde"
"Recipient Email","E-mail van ontvanger"
"Message","Bericht"
"Maximum length of the message is %1 characters.","Maximale lengte van het bericht is %1 tekens."
"Quantity","Aantal"
"Website","Website"
"Action","Actie"
"Delete Amount","Bedrag verwijderen"
"Delete","Verwijder"
"From","Van"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximale: %1"
"Availability","Beschikbaarheid"
"In stock","Op voorraad"
"You've been sent a gift from %store_name","U heeft een cadeau ontvangen van %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender heeft u een cadeaukaart gestuurd voor gebruik op <a href=""%store_url"">%store_name</a> en deze kan nu gebruikt worden voor aankopen."
"Gift Card Codes:","Cadeaubon codes:"
"Gift Card Code:","Cadeaubon code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Elke kaart heeft een saldo van %balance dat kan gebruikt worden op <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","De kaart heeft een saldo van %balance dat kan gebruikt worden op <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Klik op de bovenstaande code(s) om ze in te wisselen voor Winkelkrediet."
"Message from %sender_name:","Bericht van %sender_name:"
"Gift Cards","Cadeaubonnen"
"Gift Card Email Settings","Cadeaubon email instellingen"
"Gift Card Notification Email Sender","Afzender Cadeaubon Notificatie E-mail"
"Gift Card Notification Email Template","Cadeaubon melding email sjabloon"
"Gift Card General Settings","Cadeaubon algemene instellingen"
"Redeemable","Inwisselbaar"
"If empty no expiration.","Als leeg geen vervaldatum."
"Allow Gift Message","Cadeau bericht toestaan"
"Gift Message Maximum Length","Cadeaubericht maximale lengte"
"Generate Gift Card Account when Order Item is","Maak rekening cadeaubon aan indien het dit bestelde product is"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
"Gift Card Accounts","Cadeaubon Accounts"
"Add Gift Card Account","Cadeaubon Account toevoegen"
"Save","Opslaan"
"Delete","Verwijder"
"Save & Send Email","Opslaan & Stuur e-mail"
"Edit Gift Card Account: %1","Cadeaubon bewerken account: %1"
"New Gift Card Account","Nieuw cadeaubon account"
"ID","ID"
"Date","Datum"
"Action","Actie"
"Balance Change","Saldo Verandering"
"Balance","Saldo"
"More Information","Meer informatie"
"Information","Informatie"
"Gift Card Code","Cadeaubon-code"
"Status","Status"
"Active","Actief"
"Yes","Ja"
"No","Nee"
"Redeemable","Inwisselbaar"
"Website","Website"
"Expiration Date","Vervaldatum"
"Send Gift Card","Cadeaubon versturen"
"Recipient Email","E-mailadres geadresseerde"
"Recipient Name","Naam geadresseerde"
"Send Email from the Following Store View","Stuur E-mail notificatie vanuit het volgende Winkelaanzicht"
"-- First Please Select a Website --","-- Selecteer eerst een website --"
"Gift Card Account","Cadeaubon account"
"History","Geschiedenis"
"This gift card account has been deleted.","Cadeaubon account is verwijderd."
"We couldn't find a gift card account to delete.","We kunnen geen cadeaubon account vinden om te verwijderen."
"Edit Gift Card Account","Bewerk cadeaubon account"
"New Account","Nieuw account"
"New code pool was generated.","Nieuwe groep van de code is gegenereerd."
"We were unable to generate a new code pool.","We waren niet in staat om de code te genereren voor een nieuwe groep."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","De gebruikte Code-Pool: <b>%1%</b> (gratis <b>%2</b> van <b>%3</b> totale). Genereren van een nieuwe groep met de code <a href=""%4""> hier</a>."
"Please select a gift card account(s)","Selecteer cadeaubon account(s)"
"You deleted a total of %1 records.","U heeft een totaal van %1 rijen verwijderd."
"You saved the gift card account.","U heeft de cadeaubon account opgeslagen."
"An email was not sent because the gift card account is not active.","Een email was niet verzonden omdat de cadeaubon account niet actief is."
"You saved the gift card account, but an email was not sent.","U heeft de cadeaubon account opgeslagen, maar de email werd niet verzonden."
"We will refund the gift card amount to your customer’s store credit","We zullen het bedrag van de cadeaubon van uw klant terugbetalen"
"Please enable Store Credit to refund the gift card amount to your customer","Activeer het bedrag voor de terugbetaling van het saldo van de cadeaubon aan uw klant"
"Please correct the gift card code.","Corrigeer de cadeaubon code."
"Gift Card ""%1"" was added.","Cadeaubon ""%1"" is toegevoegd."
"We cannot apply this gift card.","We kunnen deze cadeaubon niet toepassen."
"Gift Card ""%1"" was removed.","Cadeaubon ""%1"" werd verwijderd."
"You can't remove this gift card.","U kunt deze cadeaubon niet verwijderen."
"You can't redeem a gift card now.","Het is niet mogelijk uw cadeaubon nu te verzilveren."
"Gift Card ""%1"" was redeemed.","Cadeaubon ""%1"" is ingewisseld."
"We cannot redeem this gift card.","We kunnen uw cadeaubon niet inwisselen."
"Gift Card","Cadeaubon"
"By admin: %1.","Door admin: %1."
"The expiration date must be set in the future.","De houdbaarheidsdatum moet in de toekomst liggen."
"The balance cannot be less than zero.","Het saldo kan niet klein zijn dan nul."
"This gift card account is already in the quote.","Deze cadeaubon is reeds toegepast op de quote."
"Please correct the gift card account code: ""%1"".","Corrigeer de cadeaubon rekening code: ""%1""."
"This gift card account wasn't found in the quote.","Deze cadeaubon rekening werd niet gevonden in de offerte."
"Please correct the gift card account ID. Requested code: ""%1""","Corrigeer het cadeaubon rekening ID. Aangevraagde code: ""%1"""
"Please correct the gift card account website: %1.","Corrigeer de cadeaubon rekening website: %1."
"Gift card account %1 is not enabled.","Rekening cadeaubon %1 is niet ingeschakeld."
"Gift card account %1 is expired.","Rekening cadeaubon %1 is verlopen."
"Gift card account %1 has a zero balance.","Rekening cadeaubon %1 heeft een nulsaldo."
"Gift card account %1 balance is lower than the charged amount.","Balans van de rekening cadeaubon %1 is lager dan het kostbedrag."
"Available","Beschikbaar"
"Used","Gebruikt"
"Redeemed","Ingewisseld"
"Expired","Verlopen"
"Please enter a valid customer ID.","Voer een geldig klant-id in."
"Gift Card Redeemed: %1. For customer #%2.","Cadeaubon ingewisseld: %1 voor klant #%2."
"Created","Aangemaakt"
"Updated","Bijgewerkt"
"Sent","Verstuurd"
"Order #%1.","Bestelling # %1."
"Recipient: %1.","Geadresseerde: %1."
"Customer #%1.","Klant #%1."
"Please assign a gift card account.","Wijs een cadeaubon rekening toe."
"Unknown history action.","Onbekende geschiedenis actie."
"We were unable to create full code pool size. Please check settings and try again.","U kunt de volledige grootte van de code zwembad niet maken. Controleer de instellingen en probeer het opnieuw."
"No codes left in the pool.","Geen code uitgebracht in het zwembad."
"Cart %1 doesn't contain products","Winkelwagen %1 bevat geen producten"
"Could not delete gift card from quote","Het verwijderen van de cadeaubon uit de quote is mislukt"
"Could not add gift card code","Er kon geen cadeaubon worden toegevoegd"
"Please correct the wrong or expired Gift Card Code.","Corrigeer de verkeerde of verlopen cadeaubon code."
"Alphanumeric","Alfanumeriek"
"Alphabetical","Alfabetisch"
"Numeric","Numeriek"
"The maximum generated code length is 255. Please correct your settings.","De maximale lengte van de gegenereerde code is 255. Corrigeer uw instellingen."
"Gift Cards","Cadeaubonnen"
"test message","testbericht"
"Generate","Genereren"
"Code Pool used:","Code-Pool gebruikt:"
"(free","(gratis"
"of","van"
"total).","totaal)."
"Are you sure you want to continue without saving your changes?","Weet u zeker dat u wilt doorgaan zonder de wijzigingen op te slaan?"
"Refund Gift Cards to Store Credit","Cadeaubon verzilveren als winkelkrediet"
"Add Gift Card","Cadeaubon toevoegen"
"Remove","Verwijder"
"Gift Card (%1)","Cadeaubon (%1)"
"This won't take long . . .","Dit duurt maar even . . ."
"Enter gift card code","Voer de code op uw cadeaubon in"
"Redeem Gift Card","Cadeaubon inwisselen"
"Check status and balance","Status en saldo controleren"
"Have a gift card?","Heeft u een cadeaubon?"
"Click here","Klik hier"
"to redeem it.","om in te lossen."
"Enter the gift card code","Voer de code van uw cadeaubon in"
"Check Gift Card status and balance","Controleer de status en het saldo van de cadeaubon"
"Gift Card:","Cadeaubon:"
"Current Balance:","Huidig saldo:"
"Expires:","Vervalt:"
"Please enter a valid gift card code.","Voer een geldige cadeauboncode in."
"Add or remove gift cards","Toevoegen of verwijderen van cadeaubonnen"
"Gift Card amount applied to order:","Cadeaubon bedrag toegepast op bestelling:"
"You've been sent a gift from %store_name","U heeft een cadeau ontvangen van %store_name"
"%name,","%name,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Er werd een cadeaubon gestuurd om te gebruiken op %store_name en deze kan nu gebruikt worden voor aankopen."
"Gift Card Code: %code","Cadeaubon code: %code"
"The card has a balance of %balance and can be used at","De bon heeft een saldo van %balance en kan worden gebruikt bij"
"%store_name","%store_name"
"Apply Gift Card","Cadeaubon toepassen"
"Gift Card:","Cadeaubon:"
"Apply","Toepassen"
"See Balance","Balans bekijken"
"Gift Card amount applied to order:","Cadeaubon bedrag toegepast op bestelling:"
"Email Sent from Gift Card Account Management","Email verzonden vanuit beheer rekening cadeaubon"
"Gift Card Email Sender","Afzender Cadeaubon E-mail"
"Gift Card Template","Cadeaubon sjabloon"
"Gift Card Account General Settings","Rekening cadeaubon algemene opties"
"Code Length","Lengte code"
"Excluding prefix, suffix and separators.","Behalve voorvoegsel, achtervoegsel en tussenvoegsels."
"Code Format","Formaat code"
"Code Prefix","Code voorvoegsel"
"Code Suffix","Code achtervoegsel"
"Dash Every X Characters","Streepje elke x karakters"
"if empty no separation","laat leeg voor geen streepjes"
"New Pool Size","Nieuwe pool grootte"
"Low Code Pool Threshold","Low Code Pool drempel"
"IMPORTANT: Be sure to save your configuration before running generation process.","BELANGRIJK: Zorg dat uw configuratie oplaat voordat u het generatie proces draait."
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Bent u zeker dat u deze cadeaubon accounts wil verwijderen?"
"Code","Interne naam"
"End","Einde"
"Amount can be returned to Store Credit.","Amount can be returned to Store Credit."
"""model"" value should be specified","De waarde ""model"" moet worden opgegeven"
"Gift Messages are not applicable for empty cart","Persoonlijke berichten zijn niet van toepassing bij een lege winkelwagen"
"Gift Messages are not applicable for virtual products","Cadeau berichten zijn niet van toepassing op virtuele producten"
"Gift Message is not available","Cadeau bericht is niet beschikbaar"
"Could not add gift message to shopping cart","Kon geen cadeau bericht toevoegen aan de winkelwagen"
"There is no item with provided id in the cart","Er is geen object met de gegeven id in de winkelwagen"
"There is no product with provided  itemId: %1 in the cart","Er is geen product met opgegeven itemId: %1 in de winkelwagen"
"There is no item with provided id in the order","Er is geen object met de opgegeven id in de order"
"There is no item with provided id in the order or gift message isn't allowed","Er is geen item met de opgegeven id in de order of een cadeau bericht is niet toegestaan"
"Could not add gift message to order: ""%1""","Kon geen cadeau bericht worden toegevoegd aan order: ""%1"""
"There is no order with provided id or gift message isn't allowed","Er is geen order met opgegeven id of een cadeau bericht is niet toegestaan"
"There is no order with provided id","Er is geen order voor opgegeven id"
"Gift Messages are not applicable for empty order","Cadeau berichten zijn niet van toepassing op een lege bestelling"
"Could not add gift message to order's item: ""%1""","Kon geen cadeau bericht toevoegen aan order item: ""%1"""
"Unknown entity type","Onbekend entiteittype"
"Test label","Test Label"
"Use Config Settings","Gebruik configuratiewaarden"
"From","Van"
"To","Aan"
"Message","Bericht"
"Cancel","Annuleer"
"OK","OK"
"Gift Options","Kado opties"
"Gift Message","Cadeau-bericht"
"Do you have any gift items in your order?","Zitten er kado's bij uw bestelling?"
"Add Gift Options","Voeg cadeau-opties toe"
"Gift Options for the Entire Order","Cadeau-opties voor gehele bestelling"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Laat dit vak leeg wanneer u geen cadeau boodschap wilt achterlaten voor de volledige bestelling."
"Gift Options for Individual Items","Cadeau-opties voor individuele items"
"<span>Item %1</span> of %2","<span>Product %1</span> van %2"
"Leave a box blank if you don't want to add a gift message for that item.","Laat het tekstvak leeg als u geen bericht wilt toevoegen voor dit product."
"Add Gift Options for the Entire Order","Voeg cadeau opties toe aan volledige bestelling"
"You can leave this box blank if you don't want to add a gift message for this address.","U kunt dit veld leeg laten als u geen cadeaubericht wil toevoegen voor dit adres."
"Add Gift Options for Individual Items","Voeg cadeau-opties toe aan individuele items"
"You can leave this box blank if you don't want to add a gift message for the item.","U kan dit veld leeg laten als u geen cadeaubericht wil toevoegen aan het product."
"Gift Message (optional)","Cadeau bericht (optioneel)"
"To:","Tot:"
"From:","Van:"
"Message:","Bericht:"
"Gift options","Cadeau opties"
"Edit","Bewerken"
"Delete","Verwijder"
"Allow Gift Messages on Order Level","Cadeau-berichten toestaan op orderniveau"
"Allow Gift Messages for Order Items","Cadeau-berichten toestaan op orderniveau"
"Are you sure you want to delete this gift registry?","Weet u zeker dat u deze verlanglijst wilt verwijderen?"
"Delete Registry","Verwijder register"
"Gift Registry Entity","Verlanglijst entiteit"
"Product ID","Product ID"
"Product","Product"
"SKU","Art.nr."
"Price","Prijs"
"Quantity","Hoeveelheid"
"Total","Totaal"
"Add to Gift Registry","Voeg toe aan verlanglijst"
"Are you sure you want to add these products?","Weet u zeker dat u deze producten wilt toevoegen?"
"Update Items and Quantities","Producten en aantallen bijwerken"
"ID","ID"
"Requested","Gevraagd"
"Fulfilled","Voltooid"
"Note","Opmerking"
"Action","Actie"
"Update Quantity","Aantal bijwerken"
"Remove Item","Product verwijderen"
"Sharing Information","Informatie delen"
"Emails","E-mails"
"Send From","Verzenden van"
"Message","Bericht"
"Share Gift Registry","Aanmelden Cadeau Delen"
"Gift Registry","Verlanglijst"
"Event","Gebeurtenis"
"Registrants","Registranten"
"Event Date","Gebeurtenis datum"
"Total Items","Totaal items"
"Remaining","Resterend"
"Public","Publiek"
"No","Nee"
"Yes","Ja"
"Website","Website"
"Gift Registry Types","Cadeaurekening types"
"Add Gift Registry Type","Voeg verlanglijst-type toe"
"Save","Opslaan"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","Indien u dit verlanglijst-type verwijderd, worden ook alle klantregisters verwijderd die dit type gebruiken. Wilt u doorgaan?"
"Delete","Verwijder"
"Save and Continue Edit","Toepassen"
"Edit '%1' Gift Registry Type","Editeer '%1' cadeaubon rekening type"
"New Gift Registry Type","Nieuwe Cadeauregistratie Soort"
"Add Attribute","Voeg attribuut toe"
"Delete Attribute","Verwijder attribuut"
"Use Default Value","Standaardwaarde gebruiken"
"Short","Kort"
"Medium","Medium"
"Long","Lang"
"Full","Vol"
"Add New Option","Voeg nieuwe optie toe"
"Delete Option","Verwijder optie"
"General Information","Algemene informatie"
"Code","Interne naam"
"Label","label"
"Sort Order","Sorteervolgorde"
"Is Listed","Is Genoteerd"
"Attributes","Attributen"
"[GLOBAL]","[GLOBAAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[WINKELAANZICHT]"
"None","Geen"
"New Address","Nieuw Adres"
"Edit Gift Registry","Bewerk verlanglijst"
"Create Gift Registry","Creëer verlanglijst"
"State/Province","Staat/provincie"
"Please select a region, state or province","Selecteer regio, staat of provincie"
"Please Select","Selecteer"
"View Gift Registry %1","Bekijk mijn verlanglijst %1"
"Share '%1' Gift Registry","Deel '%1' mijn verlanglijst"
"-- Please select --","-- Selecteer --"
"From","Van"
"To","Aan"
"Gift Registry Search","verlanglijst zoekfunctie"
"Select Search Type","Kies zoektype"
"Registrant","Registreerder"
"Registry owner","Aanmelding eigenaar"
"Please correct the  gift registry ID.","Corrigeer de verlanglijst register-ID."
"Please correct the gift registry entity.","Corrigeer de verlanglijst geheel."
