"All","Alle"
"Quantity","Menge"
"Website","Webseite"
"Action","Aktion"
"Delete Amount","Betrag löschen"
"Delete","Löschen"
"From","Von"
"Minimum: %1","Mindestens: %1"
"Maximum: %1","Maximal: %1"
"Availability","Lieferbarkeit"
"In stock","Lieferbar"
"You've been sent a gift from %store_name","Sie haben ein Geschenk von %store_name erhalten"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender hat Ihnen eine Geschenkkarte für den Einsatz bei <a href=""%store_url""> %store_name</a> geschickt und sie ist jetzt bereit, für Einkäufe verwendet zu werden."
"Gift Card Codes:","Gutscheincodes:"
"Gift Card Code:","Gutscheincode:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Jede Karte hat ein Guthaben von %balance, welches bei <a href=""%store_url"">%store_name</a> verwendet werden kann."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Die Karte hat ein Guthaben von %balance, welches bei <a href=""%store_url"">%store_name</a> verwendet werden kann."
"Click on the code(s) above to redeem them into Store Credit.","Klicken Sie auf den/die Codes oben, um sie in Shop-Guthaben einzulösen."
"Message from %sender_name:","Nachricht von %sender_name:"
"Gift Cards","Geschenkkarten"
"Gift Card Email Settings","Geschenkkarte E-Mail-Einstellungen"
"Gift Card Notification Email Sender","Geschenkkarte Benachrichtigung-E-Mail-Absender"
"Gift Card Notification Email Template","Geschenkkarte - Mitteilungs-E-Mail-Vorlage"
"Gift Card General Settings","Geschenkkarten - Allgemeine Einstellungen"
"Redeemable","Redeemable"
"If empty no expiration.","Wenn leer, kein Ablaufdatum"
"Allow Gift Message","Geschenknachricht erlauben"
"Gift Message Maximum Length","Maximale Länge für Geschenknachrichten"
"Generate Gift Card Account when Order Item is","Geschenkkartenkonto erstellen, wenn Auftragsposition ist"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
"Gift Card Accounts","Gift Card Accounts"
"Add Gift Card Account","Abgelaufen"
"Save","Speichern"
"Delete","Löschen"
"Save & Send Email","Speichern & E-Mail senden"
"Edit Gift Card Account: %1","Geschenkkarten-Konto %1 bearbeiten"
"New Gift Card Account","Neues Geschenkkarten-Konto"
"ID","ID"
"Date","Datum"
"Action","Aktion"
"Balance Change","Benutzt"
"Balance","Kontostand"
"More Information","Weitere Informationen"
"Information","Informationen"
"Gift Card Code","Gutscheincode"
"Status","Status"
"Active","Aktiv"
"Yes","Ja"
"No","Nein"
"Redeemable","Redeemable"
"Website","Website"
"Expiration Date","Ablaufdatum"
"Send Gift Card","Gutschein senden"
"Recipient Email","Empfänger-Email"
"Recipient Name","Name des Empfängers"
"Send Email from the Following Store View","Senden der E-Mail von folgendem Store View"
"-- First Please Select a Website --","-- Bitte wählen Sie zunächst eine Website aus --"
"Gift Card Account","Gutschein-Konto"
"History","Historie"
"This gift card account has been deleted.","Dieses Gutschein-Konto wurde gelöscht."
"We couldn't find a gift card account to delete.","Wir konnten kein Gutschein-Konto finden, um es zu löschen."
"Edit Gift Card Account","Geschenkkarten-Konto bearbeiten"
"New Account","Neues Konto"
"New code pool was generated.","Neuer Code-Pool wurde generiert."
"We were unable to generate a new code pool.","Wir waren nicht in der Lage, einen neuen Code-Pool zu generieren."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code-Pool verwendet: <b>%1%</b> (kostenlose <b>%2</b> der <b>%3</b> insgesamt). Generieren Sie <a href=""%4"">hier</a> einen neuen Code-Pool."
"Please select a gift card account(s)","Bitte wählen Sie ein oder mehrere Geschenkkarten-Konten"
"You deleted a total of %1 records.","Sie haben insgesamt %1 Einträge gelöscht."
"You saved the gift card account.","Sie haben das Geschenkkarten-Konto gespeichert."
"An email was not sent because the gift card account is not active.","Eine E-Mail wurde nicht gesendet, da das Geschenkkarten-Konto nicht aktiv ist."
"You saved the gift card account, but an email was not sent.","Sie das Geschenkkarten-Konto gespeichert, aber eine E-Mail wurde nicht gesendet."
"We will refund the gift card amount to your customer’s store credit","Wir erstatten den Geschenkkartenbetrag zu Ihrem Shop-Guthaben"
"Please enable Store Credit to refund the gift card amount to your customer","Bitte aktivieren Sie Shop-Guthaben, um dem Kunden den Geschenkkartenbetrag zu erstatten"
"Please correct the gift card code.","Bitte korrigieren Sie den Gutschein-Code."
"Gift Card ""%1"" was added.","Gutschein ""%1"" wurde hinzugefügt."
"We cannot apply this gift card.","We cannot apply this gift card."
"Gift Card ""%1"" was removed.","Geschenkkarte ""%1"" wurde entfernt."
"You can't remove this gift card.","Sie können diese Geschenk-Karte nicht entfernen."
"You can't redeem a gift card now.","Sie können noch keine Geschenkkarten einlösen."
"Gift Card ""%1"" was redeemed.","Geschenkkarte ""%1"" ist eingelöst."
"We cannot redeem this gift card.","We cannot redeem this gift card."
"Gift Card","Geschenkkarte"
"By admin: %1.","Von Admin: %1."
"The expiration date must be set in the future.","The expiration date must be set in the future."
"The balance cannot be less than zero.","The balance cannot be less than zero."
"This gift card account is already in the quote.","This gift card account is already in the quote."
"Please correct the gift card account code: ""%1"".","Please correct the gift card account code: ""%1""."
"This gift card account wasn't found in the quote.","Dieses Geschenk-Kartenkonto wurde im Zitat nicht gefunden."
"Please correct the gift card account ID. Requested code: ""%1""","Please correct the gift card account ID. Requested code: ""%1"""
"Please correct the gift card account website: %1.","Please correct the gift card account website: %1."
"Gift card account %1 is not enabled.","Gift card account %1 is not enabled."
"Gift card account %1 is expired.","Gift card account %1 is expired."
"Gift card account %1 has a zero balance.","Gift card account %1 has a zero balance."
"Gift card account %1 balance is lower than the charged amount.","Gift card account %1 balance is lower than the charged amount."
"Available","Verfügbar"
"Used","Verwendet"
"Redeemed","Eingelöst"
"Expired","Abgelaufen"
"Please enter a valid customer ID.","Please enter a valid customer ID."
"Gift Card Redeemed: %1. For customer #%2.","Gift Card Redeemed: %1. For customer #%2."
"Created","Erstellt"
"Updated","Aktualisiert"
"Sent","Gesendet"
"Order #%1.","Bestellung #%1."
"Recipient: %1.","Empfänger: %1."
"Customer #%1.","Kunde %1."
"Please assign a gift card account.","Bitte weisen Sie ein Geschenk-Karten-Konto zu."
"Unknown history action.","Unknown history action."
"We were unable to create full code pool size. Please check settings and try again.","We were unable to create full code pool size. Please check settings and try again."
"No codes left in the pool.","Keine Codes verfügbar."
"Cart %1 doesn't contain products","Warenkorb %1 enthält keine Produkte"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Geschenkkarten-Code konnte nicht hinzugefügt werden"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","Alphanumerisch"
"Alphabetical","Numerisch"
"Numeric","Numerisch"
"The maximum generated code length is 255. Please correct your settings.","The maximum generated code length is 255. Please correct your settings."
"Gift Cards","Geschenkkarten"
"test message","test message"
"Generate","Erstellen"
"Code Pool used:","Code Pool used:"
"(free","(free"
"of","of"
"total).","total)."
"Are you sure you want to continue without saving your changes?","Are you sure you want to continue without saving your changes?"
"Refund Gift Cards to Store Credit","Refund Gift Cards to Store Credit"
"Add Gift Card","Geschenkkarte hinzufügen"
"Remove","Entfernen"
"Gift Card (%1)","Gift Card (%1)"
"This won't take long . . .","This won't take long . . ."
"Enter gift card code","Geschenkkarten-Code eingeben"
"Redeem Gift Card","Geschenkkarte einlösen"
"Check status and balance","Status und Saldo kontrollieren"
"Have a gift card?","Have a gift card?"
"Click here","Click here"
"to redeem it.","to redeem it."
"Enter the gift card code","Geben dein Geschenkkarten-Code ein"
"Check Gift Card status and balance","Saldo und Status Geschenkkarte"
"Gift Card:","Geschenkkarte:"
"Current Balance:","Aktueller Saldo:"
"Expires:","Expires:"
"Please enter a valid gift card code.","Bitte geben Sie einen gültigen Geschenkkarten-Code ein."
"Add or remove gift cards","Add or remove gift cards"
"Gift Card amount applied to order:","Gift Card amount applied to order:"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","You've been sent a gift card for use at %store_name and it is now ready to be used for purchases."
"Gift Card Code: %code","Gift Card Code: %code"
"The card has a balance of %balance and can be used at","The card has a balance of %balance and can be used at"
"%store_name","%store_name"
"Apply Gift Card","Geschenkkarte einlösen"
"Gift Card:","Geschenkkarte:"
"Apply","Anwenden"
"See Balance","Saldo einsehen"
"Gift Card amount applied to order:","Gift Card amount applied to order:"
"Email Sent from Gift Card Account Management","Email Sent from Gift Card Account Management"
"Gift Card Email Sender","Gift Card Email Sender"
"Gift Card Template","Gift Card Template"
"Gift Card Account General Settings","Gift Card Account General Settings"
"Code Length","Ohne Präfix, Suffix und Trennzeichen"
"Excluding prefix, suffix and separators.","Ohne Präfix, Suffix und Trennzeichen."
"Code Format","Code Format"
"Code Prefix","Code Präfix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Bindestrich nach jedem x-ten Zeichen"
"if empty no separation","if empty no separation"
"New Pool Size","New Pool Size"
"Low Code Pool Threshold","Low Code Pool Threshold"
"IMPORTANT: Be sure to save your configuration before running generation process.","IMPORTANT: Be sure to save your configuration before running generation process."
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Are you sure you want to delete these gift card accounts?"
"Code","Code"
"End","Ende"
"Amount can be returned to Store Credit.","Amount can be returned to Store Credit."
"""model"" value should be specified","""model"" value should be specified"
"Gift Messages are not applicable for empty cart","Geschenknachrichten sind bei einem leeren Warenkorb nicht anwendbar"
"Gift Messages are not applicable for virtual products","Geschenknachrichten können bei virtuellen Produkten nicht verwendet werden"
"Gift Message is not available","Geschenknachricht ist nicht verfügbar"
"Could not add gift message to shopping cart","Konnte keine Geschenknachricht zum Warenkorb hinzufügen"
"There is no item with provided id in the cart","Es gibt keinen Artikel mit der angegebenen ID im Warenkorb"
"There is no product with provided  itemId: %1 in the cart","Es gibt kein Produkt mit der angegebenen ItemId: %1 im Warenkorb"
"There is no item with provided id in the order","Es gibt keinen Artikel mit der angegebenen ID in der Bestellung"
"There is no item with provided id in the order or gift message isn't allowed","Es wurde kein Produkt mit der angegebenen ID in Ihrer Bestellung gefunden oder dieser Geschenkgutschein ist ungültig"
"Could not add gift message to order: ""%1""","Geschenknachricht zur folgenden Bestellung konnte nicht hinzugefügt werden: ""%1"""
"There is no order with provided id or gift message isn't allowed","Es wurde keine Bestellung mit dem angegebenen Geschenkgutschein gefunden oder dieser Geschenkgutschein ist ungültig"
"There is no order with provided id","Es gibt keine Aufträge mit der angegebenen Id"
"Gift Messages are not applicable for empty order","Geschenknachrichten können bei leeren Bestellungen nicht angewendet werden"
"Could not add gift message to order's item: ""%1""","Geschenknachricht zum folgenden Produkt der Bestellung konnte nicht hinzugefügt werden: ""%1"""
"Unknown entity type","Unbekannter Entity Type"
"Test label","Test-Label"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"From","Von"
"To","Bis"
"Message","Nachricht"
"Cancel","Abbrechen"
"OK","OK"
"Gift Options","Geschenkoptionen"
"Gift Message","Geschenknachricht"
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Add Gift Options","Geschenkoptionen hinzufügen"
"Gift Options for the Entire Order","Geschenkoptionen für die gesamte Bestellung"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Lassen Sie dieses Feld leer wenn sie keinen Geschenkgutschein für die gesamte Bestellung benützen möchten."
"Gift Options for Individual Items","Geschenkoptionen für einzelne Artikel"
"<span>Item %1</span> of %2","<span>Item %1</span> of %2"
"Leave a box blank if you don't want to add a gift message for that item.","Lassen Sie ein Feld leer wenn sie für dieses Produkt einen Geschenkgutschein verwenden möchten."
"Add Gift Options for the Entire Order","Geschenkoptionen für die gesamte Bestellung hinzufügen"
"You can leave this box blank if you don't want to add a gift message for this address.","Sie können dieses Feld leer lassen wenn sie für diese Adresse keinen Geschenkgutschein verwenden möchten."
"Add Gift Options for Individual Items","Geschenkoptionen für einzelne Artikel hinzufügen"
"You can leave this box blank if you don't want to add a gift message for the item.","Sie können dieses Feld leer lassen wenn sie für dieses Produkt keinen Geschenkgutschein verwenden möchten."
"Gift Message (optional)","Geschenknachricht (optional)"
"To:","Bis:"
"From:","Von:"
"Message:","Nachricht:"
"Update","Aktualisieren"
"Gift options","Geschenkoptionen"
"Edit","Bearbeiten"
"Delete","Löschen"
"Allow Gift Messages on Order Level","Geschenknachrichten auf Bestellebene erlauben"
"Allow Gift Messages for Order Items","Geschenknachricht für bestellte Artikel erlauben"
"Are you sure you want to delete this gift registry?","Art:"
"Delete Registry","Löschen der Registry"
"Gift Registry Entity","Geschenk-Registrierungs-Entität"
"Product ID","Artikelnummer"
"Product","Produkt"
"SKU","Artikelnummer"
"Price","Preis"
"Quantity","Menge"
"Total","Gesamtsumme"
"Add to Gift Registry","Zum Wunschzettel hinzufügen"
"Are you sure you want to add these products?","Sind Sie sicher, dass Sie diese Produkte hinzufügen möchten?"
"Update Items and Quantities","Artikel und Anzahl aktualisieren"
"ID","ID"
"Requested","Angefordert"
"Fulfilled","Erfüllt"
"Note","Hinweis"
"Action","Aktion"
"Update Quantity","Menge aktualisieren"
"Remove Item","Artikel entfernen"
"Sharing Information","Verteilungsinformationen"
"Emails","E-Mails"
"Send From","Gesendet von"
"Message","Nachricht"
"Share Gift Registry","Teile Wunschzettel"
"Gift Registry","Wunschzettel"
"Event","Vorgang"
"Registrants","Anmeldungen"
"Event Date","Event-Datum"
"Total Items","Artikel insgesamt"
"Remaining","Verbleibend"
"Public","Öffentlich"
"No","Nein"
"Yes","Ja"
"Website","Website"
"Gift Registry Types","Gift Registry Types"
"Add Gift Registry Type","Add Gift Registry Type"
"Save","Speichern"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?"
"Delete","Löschen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Edit '%1' Gift Registry Type","Edit '%1' Gift Registry Type"
"New Gift Registry Type","New Gift Registry Type"
"Add Attribute","Neue Option"
"Delete Attribute","Attribut löschen"
"Use Default Value","Standardwerte verwenden"
"Short","Kurz"
"Medium","Mittel"
"Long","Lang"
"Full","Voll"
"Add New Option","Neue Option hinzufügen"
"Delete Option","Menge:"
"General Information","Allgemeine Information"
"Code","Code"
"Label","Bezeichnung"
"Sort Order","Sortierreihenfolge"
"Is Listed","Ist aufgeführt"
"Attributes","Attribute"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"None","Keine"
"New Address","Neue Adresse"
"Edit Gift Registry","Edit Gift Registry"
"Create Gift Registry","Create Gift Registry"
"State/Province","Bundesland"
"Please select a region, state or province","Please select a region, state or province"
"Please Select","Bitte wählen"
"View Gift Registry %1","View Gift Registry %1"
"Share '%1' Gift Registry","Share '%1' Gift Registry"
"-- Please select --","-- Bitte wählen --"
"From","Von"
"To","Bis"
"Gift Registry Search","Gift Registry Search"
"Select Search Type","Pflichtfelder"
"Registrant","Registrant"
"Registry owner","Registry owner"
"Please correct the  gift registry ID.","Please correct the  gift registry ID."
"Please correct the gift registry entity.","Please correct the gift registry entity."
"Shopping cart items have been added to gift registry.","Shopping cart items have been added to gift registry."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries."
"We can't add shopping cart items to the gift registry right now.","Artikel aus dem Warenkorb können momentan nicht zur Geschenkliste hinzugefügt werden."
"You deleted this gift registry entity.","You deleted this gift registry entity."
"We couldn't delete this gift registry entity.","We couldn't delete this gift registry entity."
"Customers","Kunden"
"Edit '%1' Gift Registry","Edit '%1' Gift Registry"
"Something went wrong while editing the gift registry.","Something went wrong while editing the gift registry."
"Please enter at least one email address.","Please enter at least one email address."
"%1 email(s) were sent.","%1 Email(s) wurden versandt."
"We couldn't send '%1 of %2 emails.","We couldn't send '%1 of %2 emails."
"You updated this gift registry.","You updated this gift registry."
"We can't update these gift registry items right now.","Diese Einträge der Geschenkliste können momentan nicht aktualisiert werden."
"You deleted the gift registry type.","You deleted the gift registry type."
"We couldn't delete this gift registry type.","We couldn't delete this gift registry type."
"%1","%1"
"Edit Type","Typ bearbeiten"
"New Type","Neuer Typ"
"You saved the gift registry type.","You saved the gift registry type."
"We can't save this gift registry type right now.","Diese Art der Geschenkliste kann momentan nicht gespeichert werden."
"Page not found.","Seite nicht gefunden."
"Please correct the gift registry ID.","Please correct the gift registry ID."
"%1 item(s) have been added to the gift registry.","%1 item(s) have been added to the gift registry."
"We have nothing to add to this gift registry.","We have nothing to add to this gift registry."
"You can't add virtual products, digital products or gift cards to gift registries.","Sie können keine virtuellen Produkte, digitale Produkte oder Geschenkkarten zum Wunschzettel hinzufügen."
"You deleted this gift registry.","Sie haben den Wunschzettel gelöscht."
"Something went wrong while deleting the gift registry.","Löschen des Wunschzettel fehlgeschlagen."
"Please correct the gift registry.","Bitte korrigieren Sie den Wunschzettel."
"Incorrect Type","Falscher Typ"
"Please correct the registrant data.","Bitte korrigieren Sie die Daten der anzumeldenden Person."
"Address is empty.","Adresse ist leer."
"Please select an address.","Bitte wählen Sie eine Adresse."
"Please correct the address.","Bitte korrigieren Sie die Adresse."
"You saved this gift registry.","Sie haben den Wunschzettel gespeichert."
"We couldn't save this gift registry.","Der Wunschzettel konnte nicht gespeichert werden."
"Gift Registry Items","Wunschzettel Artikel"
"Something went wrong while sending email(s).","Senden der Email(s) fehlgeschlagen."
"Something went wrong while sharing the gift registry.","Teilen des Wunschzettels fehlgeschlagen."
"You updated the gift registry items.","Sie haben die Wunschzettel Artikel aktualisiert."
"We couldn't update the gift registry.","Aktualisieren des Wunschzettel fehlgeschlagen."
"The wish list item has been added to this gift registry.","The wish list item has been added to this gift registry."
"We couldn’t add your wish list items to your gift registry.","We couldn’t add your wish list items to your gift registry."
"Please enter correct search options.","Bitte geben Sie korrekte Suchoptionen ein."
"Please enter at least 2 letters of the first name.","Bitte geben Sie mindestens 2 Buchstaben des Vornamens an."
"Please enter at least 2 letters of the last name.","Bitte geben Sie mindestens 2 Buchstaben des Nachnamens an."
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse an."
"Please enter a gift registry ID.","Please enter a gift registry ID."
"Please enter the quantity of items to add to cart.","Please enter the quantity of items to add to cart."
"We can't add this item to your shopping cart right now.","Der Artikel konnte nicht in Ihren Warenkorb gelegt werden."
"Gift Registry Info","Gift Registry Info"
"Please enter the ""%1"".","Please enter the ""%1""."
"Please enter the correct ""%1"".","Please enter the correct ""%1""."
"Custom Types","Benutzerdefinierte Typen"
"Static Types","Statische Typen"
"label","Kennzeichen"
"Product has required options.","Produkt hat erforderliche Optionen."
"You need to enter sender data.","Sie müssen die Absenderdaten eingeben."
"Please add invitees.","Please add invitees."
"You cannot send emails to more than %1 recipients at once","You cannot send emails to more than %1 recipients at once"
"Please enter a valid invitee email address.","Bitte geben Sie eine gültige Empfänger-E-Mail-Adresse ein."
"Please enter an invitee name.","Bitte geben Sie einen Namen des Empfänger ein."
"You shared the gift registry for %1 emails.","You shared the gift registry for %1 emails."
"We couldn't share the registry.","We couldn't share the registry."
"Private","Privat"
"Inactive","Inaktiv"
"Active","Aktiv"
"Please enter the title.","Bitte geben Sie einen Titel ein."
"Please enter the message.","Bitte geben Sie eine Nachricht ein."
"Please enter correct the Privacy setting.","Bitte geben Sie korrekte Privatsphäre-Einstellung ein."
"We cannot specify the product.","We cannot specify the product."
"Please correct the  gift registry item quantity.","Please correct the  gift registry item quantity."
"Please correct the gift registry item ID.","Please correct the gift registry item ID."
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2."
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested."
"This product(s) is out of stock.","This product(s) is out of stock."
"Please correct the product for adding the item to the quote.","Please correct the product for adding the item to the quote."
"Please correct the item option format.","Please correct the item option format."
"An item option with code %1 already exists.","An item option with code %1 already exists."
"New","Neu"
"Please enter the first name.","Bitte geben Sie den Nachnamen an."
"Please enter the last name.","Bitte geben Sie den Nachnamen ein."
"Please enter a valid email address(for example, daniel@x.com).","Please enter a valid email address(for example, daniel@x.com)."
"Ship to the recipient's address.","Ship to the recipient's address."
"-- All --","-- Alle --"
"Unknown gift registry identifier","Unknown gift registry identifier"
"All Forms","All Forms"
"Registrant Name Search","Registrant Name Search"
"Registrant Email Search","Registrant Email Search"
"Gift Registry ID Search","Gift Registry ID Search"
"Type","Art"
"Owner","Owner"
"Created on","Erstellt am"
"Shipping Address","Lieferadresse"
"Shopping Cart Items","Artikel im Warenkorb"
"New Attribute","Neues Attribut"
"Input Type","Eingabetyp"
"Attribute Group","Attribute Group"
"Is Required","Ist erforderlich"
"Is Searcheable","Is Searcheable"
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.","We found an attribute with this static input type already in the gift registry type. Please select a different input type."
"Show Region","Bundesland/Kanton anzeigen"
"Date Format","Datumsformat"
"Is Default","Standard"
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder geben Sie eine neue Adresse ein."
"Company","Firma"
"Address","Adresse"
"Street Address","Straße"
"Street Address %1","Fax"
"City","Stadt"
"Please select a region, state or province.","Wählen Sie eine Region, Bundesland oder Provinz."
"Zip/Postal Code","PLZ"
"Country","Land"
"Phone Number","Telefonnummer"
"Fax","Fax"
"Add All To Gift Registry","Add All To Gift Registry"
"Ship to registrant's address","Versenden an die Adresse des Besitzers der Geschenkliste"
"Use the gift registry shipping address","Use the gift registry shipping address"
"Added On","Added On"
"Qty","Menge"
"Qty Fulfilled","Qty Fulfilled"
"Update Gift Registry","Update Gift Registry"
"Back","Zurück"
"This gift registry has no items.","This gift registry has no items."
"Created On","Erstellt am"
"Manage Items","Artikel verwalten"
"Share","Teilen"
"Edit","Bearbeiten"
"You haven't created a gift registry yet.","Sie haben noch keine Geschenkliste erstellt."
"Add New","Neu"
"Remove","Entfernen"
"First Name","Vorname"
"Name","Name"
"Email","E-Mail"
"* Required Fields","* Pflichtfelder"
"Sender","Absender"
"Invitee","Invitee"
"Maximum %1 email addresses.","Maximum %1 email addresses."
"Add Invitee","Add Invitee"
"Gift Registry Type","Gift Registry Type"
"Please select a gift registry type.","Please select a gift registry type."
"Next","Weiter"
"Last Name","Nachname"
"Registrant Information","Registrant Information"
"Maximum %1 registrants.","Maximum %1 registrants."
"Add Registrant","Add Registrant"
"Type:","Type:"
"Privacy Settings","Privacy Settings"
"Status","Status"
"Gift Registry Items Updated","Gift Registry Items Updated"
"Product Name","Artikelname"
"Requested Quantity","Requested Quantity"
"Fulfilled Quantity","Fulfilled Quantity"
"Total Fulfilled Quantity","Gesamtanzahl"
"Remaining Quantity","Remaining Quantity"
"Quantity:","Menge:"
"Customize and Add to Gift Registry","Customize and Add to Gift Registry"
"This won't take long . . .","This won't take long . . ."
"Required Fields","Required Fields"
"Search Options","Search Options"
"For better search results, first choose a gift registry type. By default, we search all registry types.","For better search results, first choose a gift registry type. By default, we search all registry types."
"Type Specific Options","Type Specific Options"
"Search","Suche"
"Registrant Email","Registrant Email"
"Gift Registry ID","Gift Registry ID"
"Search Results","Search Results"
"Location","Ort"
"Actions","Aktionen"
"View","Anzeigen"
"Your search returned no results.","Ihre Suche ergab keine Treffer."
"Please enter at least two letters of the name.","Please enter at least two letters of the name."
"Search By","Suche nach"
"Please enter at least two letters.","Please enter at least two letters."
"Unit Price","Einzelpreis"
"Add to Cart","In den Warenkorb"
"Gift Registry created at %store_name","Gift Registry created at %store_name"
"%name,","%name,"
"You have successfully created the new gift registry ""%registry_name"".","Sie haben die Geschenkliste ""%registry_name"" erfolgreich erstellt."
"Your Gift Registry Message","Your Gift Registry Message"
"Now you can add products to your gift registry.","Now you can add products to your gift registry."
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Gehen Sie einfach zu <a href=""%store_url"">%store_name</a> und fügen Sie die gewünschten Produkte zu Ihrem Warenkorb oder Merkzettel hinzu."
"You can then add the products to your registry from your shopping cart or wish list page.","You can then add the products to your registry from your shopping cart or wish list page."
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab."
"Or you can email the following link and gift registry ID to them:","Or you can email the following link and gift registry ID to them:"
"Registry Location:","Registry Location:"
"Registry ID:","Registry ID:"
"Gift Registry shared at %store_name","Gift Registry shared at %store_name"
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>."
"Gift Registry:","Gift Registry:"
"Created For:","Created For:"
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family."
"Gift Registry updated at %store_name","Gift Registry updated at %store_name"
"The following items have been purchased from your gift registry ""%registry_name"":","Die folgenden Artikel von Ihrer Geschenkliste ""%registry_name"" wurden gekauft:"
"You can sign in to your account to view more details about this gift registry.","You can sign in to your account to view more details about this gift registry."
"Ship to Recipient Address","Ship to Recipient Address"
"Ship Here","Hierhin verschicken"
"Recipient Address","Recipient Address"
"Use gift registry shipping address","Use gift registry shipping address"
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.","The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart."
"Text","Text"
"Gift Registry Details","Gift Registry Details"
"Role","Rolle"
"Event Data","Event Data"
"Event Information","Event Information"
"Event Country","Event Country"
"My event special","My event special"
"My special attribute","My special attribute"
"Gift Registry Section","Gift Registry Section"
"General Options","Allgemeine Optionen"
"Enable Gift Registry","Enable Gift Registry"
"Maximum Registrants","Maximum Registrants"
"Owner Notification","Owner Notification"
"Email Template","E-Mail-Vorlage"
"Email Sender","E-Mail-Absender"
"Gift Registry Sharing","Gift Registry Sharing"
"Maximum Sent Emails Threshold","Maximum Sent Emails Threshold"
"Gift Registry Update","Gift Registry Update"
"Select","Auswählen"
"Date","Datum"
"Event Region Id","Event Region Id"
"Event Region Text","Event Region Text"
"Event Location","Event Location"
"Gift Registry Quick Search Form","Gift Registry Quick Search Form"
"Quick Search Form Types","Quick Search Form Types"
"Template","Vorlage"
"Default Template","Default Template"
"Listed","Listed"
"Gift Wrapping","Geschenkverpackung für die gesamte Bestellung"
"Add Gift Wrapping","Geschenkpapier hinzufügen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Are you sure you want to delete this gift wrapping?","Sind Sie sicher, dass Sie diese Geschenkverpackung entfernen wollen?"
"Edit Gift Wrapping ""%1""","Geschenkverpackung ""%1"" bearbeiten"
"New Gift Wrapping","Neue Geschenkverpackung"
"Gift Wrapping Information","Info zur Geschenkverpackung"
"Gift Wrapping Design","Geschenkverpackungs-Design"
"Websites","Websites"
"Status","Status"
"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Price","Preis"
"Image","Bild"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"Please request the correct gift wrapping.","Bitte fordern Sie die richtige Geschenkverpackung an."
"You updated a total of %1 records.","Sie haben insgesamt %1 Einträge aktualisiert."
"Something went wrong while updating the wrapping(s) status.","Während der Aktualisierung des Verpackungsstatus ist ein Fehler aufgetreten."
"You deleted the gift wrapping.","Sie haben die Geschenkverpackung gelöscht."
"%1","%1"
"Please select items.","Bitte Artikel auswählen."
