"All","Все"
"Column ""%1"" not found","Column ""%1"" not found"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","Нет"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Field","Field"
"is required.","is required."
"Flat Rate","Flat Rate"
"Enabled","Включено"
"Method Name","Method Name"
"Price","Цена"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Sort Order","Порядок Сортировки"
"Title","Title"
"Type","Тип"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Table Rates","Table Rates"
"Condition","Condition"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Export","Экспорт"
"Import","Импорт"
"Free Shipping","Бесплатная доставка"
"Minimum Order Amount","Minimum Order Amount"
"-- Please Select --","-- Please Select --"
"Export VCL for Varnish %1","Export VCL for Varnish %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero."
"Built-in Cache","Встроенный кэш"
"Varnish Cache (Recommended)","Varnish Cache (Recommended)"
"Unsupported varnish version","Unsupported varnish version"
"Full Page Cache","Full Page Cache"
"Caching Application","Caching Application"
"Varnish Configuration","Varnish Configuration"
"Access list","Access list"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved."
"Backend host","Backend host"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Specify backend host for config file generation. If field is empty default value localhost will be saved."
"Backend port","Backend port"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Specify backend port for config file generation. If field is empty default value 8080 will be saved."
"Grace period","Grace period"
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing."
"TTL for public content","TTL for public content"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","Public content cache lifetime in seconds. If field is empty default value 86400 will be saved."
"Page Cache","Page Cache"
"Full page caching","Full page caching"
"We cannot retrieve the payment method model object.","We cannot retrieve the payment method model object."
"Month","Месяц"
"Year","Год"
"We cannot retrieve the payment info model object.","We cannot retrieve the payment info model object."
"N/A","Н/Д"
"Credit Card Type","Тип кредитной карты"
"Credit Card Number","Номер кредитной карты"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Issue Number"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Start Date"
"We cannot retrieve the transparent payment method model object.","We cannot retrieve the transparent payment method model object."
"Command Executor for %1 is not defined.","Command Executor for %1 is not defined."
"Command %1 does not exist.","Command %1 does not exist."
"Wrong gateway response format.","Wrong gateway response format."
"Validator for field %1 does not exist.","Validator for field %1 does not exist."
"Discount","Скидка"
"Shipping","Доставка"
"All Allowed Countries","All Allowed Countries"
"Specific Countries","Specific Countries"
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","The payment disallows storing objects."
"We cannot retrieve the payment method code.","We cannot retrieve the payment method code."
"We cannot retrieve the payment information object instance.","We cannot retrieve the payment information object instance."
"You can't use the payment type you selected to make payments to the billing country.","Вы не можете использовать выбранный вами тип платежа для внесения платежей в страну фактурирования."
"The order action is not available.","The order action is not available."
"The authorize action is not available.","The authorize action is not available."
"The capture action is not available.","The capture action is not available."
"The refund action is not available.","The refund action is not available."
"The void action is not available.","The void action is not available."
"The payment review action is unavailable.","The payment review action is unavailable."
"The credit card number doesn't match the credit card type.","Номер кредитной карты не соответствует типу кредитной карты."
"Invalid Credit Card Number","Invalid Credit Card Number"
"This credit card type is not allowed for this payment method.","This credit card type is not allowed for this payment method."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Please enter a valid credit card expiration date.","Please enter a valid credit card expiration date."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 class doesn't implement \Magento\Payment\Model\MethodInterface"
"Yes","Да"
"No","Нет"
"Failure #1","Failure #1"
"Failure #2","Failure #2"
"Expiration Date","Дата окончания срока действия"
"Card Verification Number","Card Verification Number"
"is not available. You still can process offline actions.","is not available. You still can process offline actions."
"Please Select","Please Select"
"We'll ask for your payment details before you place an order.","Прежде чем разместить заказ мы запросим ваши платежные реквизиты."
"--Please Select--","-- Выберите --"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"What is this?","Что это?"
"Credit Card Information","Credit Card Information"
"Place Order","Place Order"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Edit Your Cart"
"Please enter a valid credit card type number.","Please enter a valid credit card type number."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Incorrect credit card expiration month.","Incorrect credit card expiration month."
"Incorrect credit card expiration year.","Incorrect credit card expiration year."
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Payment Methods Section","Payment Methods Section"
"Payment Services","Payment Services"
"Payment Methods","Payment Methods"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"payflowpro","payflowpro"
"Billing Agreements","Правила оплаты"
"ID","ID"
"Email","Электронная почта"
"First Name","Имя"
"Last Name","Фамилия"
"Reference ID","Reference ID"
"Status","Статус"
"Created","Создан"
"N/A","Н/Д"
"Updated","Updated"
"Back","Вернуться"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Cancel","Отмена"
"Billing Agreement #%1","Billing Agreement #%1"
"General Information","General Information"
"Related Orders","Related Orders"
"Order","Заказ"
"Purchased","Purchased"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Order Total","Сумма заказа"
"Purchase Point","Purchase Point"
"Billing Agreement View","Billing Agreement View"
"View Transaction Details","View Transaction Details"
"Reference Information","Reference Information"
"Transaction Information","Transaction Information"
"PayPal Fee Information","PayPal Fee Information"
"PayPal Settlement Reports","PayPal Settlement Reports"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Fetch Updates"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","Помощь"
"Configure","Настроить"
"Close","Закрыть"
"Learn More","Learn More"
"View Demo","Просмотреть демо"
"See terms","See terms"
"You will be redirected to the PayPal website.","You will be redirected to the PayPal website."
"You will be redirected to the PayPal website when you place an order.","You will be redirected to the PayPal website when you place an order."
"Incl. Tax","Включая налог"
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Invalid block type","Invalid block type"
"Please specify the correct billing agreement ID and try again.","Please specify the correct billing agreement ID and try again."
"You canceled the billing agreement.","You canceled the billing agreement."
"We can't cancel the billing agreement.","We can't cancel the billing agreement."
"You deleted the billing agreement.","You deleted the billing agreement."
"We can't delete the billing agreement.","We can't delete the billing agreement."
"Reports","Reports"
"Sales","Продажи"
"View Transaction","View Transaction"
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration."
"We fetched %1 report rows from ""%2@%3.""","We fetched %1 report rows from ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","We can't fetch reports from ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","The billing agreement ""%1"" has been canceled."
"The billing agreement ""%1"" has been created.","The billing agreement ""%1"" has been created."
"We couldn't finish the billing agreement wizard.","We couldn't finish the billing agreement wizard."
"We can't start the billing agreement wizard.","We can't start the billing agreement wizard."
"Billing Agreement # %1","Billing Agreement # %1"
"We can't initialize Express Checkout.","We can't initialize Express Checkout."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified."
"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled."
"Express Checkout has been canceled.","Express Checkout has been canceled."
"Unable to cancel Express Checkout","Unable to cancel Express Checkout"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't place the order.","We can't place the order."
"We can't process Express Checkout approval.","We can't process Express Checkout approval."
"We can't initialize Express Checkout review.","We can't initialize Express Checkout review."
"We can't update shipping method.","We can't update shipping method."
"We can't start Express Checkout.","We can't start Express Checkout."
"To check out, please sign in with your email address.","To check out, please sign in with your email address."
"Sorry, but something went wrong","Sorry, but something went wrong"
"Your payment has been declined. Please try again.","Your payment has been declined. Please try again."
"Requested payment method does not match with order.","Requested payment method does not match with order."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Would you like to sign a billing agreement to streamline further purchases with PayPal?"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Payment Gateway is unreachable at the moment. Please use another payment option."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"Something went wrong while processing your order.","Something went wrong while processing your order."
"PayPal gateway has rejected request. %1","PayPal gateway has rejected request. %1"
"The PayPal gateway rejected the request. %1","The PayPal gateway rejected the request. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you."
"A match of the Shipping Address City, State, and Postal Code failed.","A match of the Shipping Address City, State, and Postal Code failed."
"The payment method code is not set.","The payment method code is not set."
"The reference ID is not set.","The reference ID is not set."
"Unable to save Billing Agreement:","Unable to save Billing Agreement:"
"Active","Active"
"Canceled","Отменен"
"The customer ID is not set.","The customer ID is not set."
"The Billing Agreement status is not set.","The Billing Agreement status is not set."
"The PayPal certificate does not exist.","The PayPal certificate does not exist."
"We prefer PayPal (150 X 60)","We prefer PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","We prefer PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Now accepting PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Now accepting PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Payments by PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Payments by PayPal (150 X 40)"
"Shop now using (150 X 60)","Shop now using (150 X 60)"
"Shop now using (150 X 40)","Shop now using (150 X 40)"
"Dynamic","Dynamic"
"Static","Static"
"Shortcut","Shortcut"
"Acceptance Mark Image","Acceptance Mark Image"
"Authorization","Authorization"
"Sale","Sale"
"Yes","Да"
"No","Нет"
"For Virtual Quotes Only","For Virtual Quotes Only"
"Auto","Auto"
"Ask Customer","Ask Customer"
"Never","Never"
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) Only"
"API Signature","API Signature"
"API Certificate","API Certificate"
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We'll authorize the amount of %1 as soon as the payment gateway approves it."
"The authorized amount is %1.","The authorized amount is %1."
"The maximum number of child authorizations is reached.","The maximum number of child authorizations is reached."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process."
"A payer is not identified.","A payer is not identified."
"Cannot get secure form URL from PayPal","Cannot get secure form URL from PayPal"
"Last Transaction ID","Last Transaction ID"
"This customer didn't include a confirmed address.","This customer didn't include a confirmed address."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment eCheck is not cleared.","The payment eCheck is not cleared."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism."
"The payment currency doesn't match any of the merchant's balances currency.","The payment currency doesn't match any of the merchant's balances currency."
"The payment is pending while it is being reviewed by PayPal for risk.","The payment is pending while it is being reviewed by PayPal for risk."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","The payment is pending because it was made to an email address that is not yet registered or confirmed."
"The merchant account is not yet verified.","The merchant account is not yet verified."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status."
"Sorry, but something went wrong. Please contact PayPal customer service.","Sorry, but something went wrong. Please contact PayPal customer service."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"Reversal of an adjustment.","Reversal of an adjustment."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Settlement of a chargeback.","Settlement of a chargeback."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Unknown reason. Please contact PayPal customer service.","Unknown reason. Please contact PayPal customer service."
"Payer ID","Payer ID"
"Payer Email","Payer Email"
"Payer Status","Payer Status"
"Payer Address ID","Payer Address ID"
"Payer Address Status","Payer Address Status"
"Merchant Protection Eligibility","Merchant Protection Eligibility"
"Triggered Fraud Filters","Triggered Fraud Filters"
"Last Correlation ID","Last Correlation ID"
"Address Verification System Response","Address Verification System Response"
"CVV2 Check Result by PayPal","CVV2 Check Result by PayPal"
"AVS Street Match","AVS Street Match"
"AVS zip","AVS zip"
"International AVS response","International AVS response"
"Buyer's Tax ID","Buyer's Tax ID"
"Buyer's Tax ID Type","Buyer's Tax ID Type"
"Chargeback","Chargeback"
"Complaint","Complaint"
"Dispute","Dispute"
"Matched Address only (no ZIP)","Matched Address only (no ZIP)"
"Matched Address only (no ZIP) International","Matched Address only (no ZIP) International"
"No Details matched","No Details matched"
"No Details matched. International","No Details matched. International"
"Exact Match.","Exact Match."
"Exact Match. Address and Postal Code. International","Exact Match. Address and Postal Code. International"
"Exact Match. Address and Postal Code. UK-specific","Exact Match. Address and Postal Code. UK-specific"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Not allowed for MOTO (Internet/Phone) transactions"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","N/A. International Unavailable"
"Matched five-digit ZIP only (no Address)","Matched five-digit ZIP only (no Address)"
"Matched Postal Code only (no Address)","Matched Postal Code only (no Address)"
"N/A. Retry","N/A. Retry"
"N/A. Service not Supported","N/A. Service not Supported"
"N/A. Unavailable","N/A. Unavailable"
"Matched whole nine-digit ZIP (no Address)","Matched whole nine-digit ZIP (no Address)"
"Yes. Matched Address and five-digit ZIP","Yes. Matched Address and five-digit ZIP"
"All the address information matched","All the address information matched"
"None of the address information matched","None of the address information matched"
"Part of the address information matched","Part of the address information matched"
"N/A. The merchant did not provide AVS information","N/A. The merchant did not provide AVS information"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Address not checked, or acquirer had no response. Service not available"
"Matched (CVV2CSC)","Matched (CVV2CSC)"
"No match","No match"
"N/A. Not processed","N/A. Not processed"
"N/A. Service not supported","N/A. Service not supported"
"N/A. Service not available","N/A. Service not available"
"N/A. No response","N/A. No response"
"Matched (CVV2)","Matched (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. The merchant has not implemented CVV2 code handling"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant has indicated that CVV2 is not present on card"
"CNPJ","CNPJ"
"CPF","CPF"
"Note: %1","Note: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3."
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"We cannot cancel this order.","We cannot cancel this order."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4"""
"You notified customer about creditmemo #%1.","You notified customer about creditmemo #%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Unable to fetch transaction details.","Unable to fetch transaction details."
"Invalid method %1::%2","Invalid method %1::%2"
"Transaction has been declined","Транзакция была отклонена"
"Transaction has been declined. Please try again later.","Транзакция была отклонена"
"Error processing payment. Please try again later.","Error processing payment. Please try again later."
"We cannot send the new order email.","We cannot send the new order email."
"Payment error. %value was not found.","Payment error. %value was not found."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"You need an authorization transaction to void.","You need an authorization transaction to void."
"We can't issue a refund transaction because there is no capture transaction.","We can't issue a refund transaction because there is no capture transaction."
"We cannot create a target file for reading reports.","We cannot create a target file for reading reports."
"Report Date","Report Date"
"Merchant Account","Merchant Account"
"Transaction ID","Transaction ID"
"Invoice ID","Invoice ID"
"PayPal Reference ID","PayPal Reference ID"
"PayPal Reference ID Type","PayPal Reference ID Type"
"Event Code","Event Code"
"Event","Event"
"Start Date","Дата начала"
"Finish Date","Finish Date"
"Debit or Credit","Debit or Credit"
"Gross Amount","Gross Amount"
"Fee Debit or Credit","Fee Debit or Credit"
"Fee Amount","Fee Amount"
"Custom","Выборочный"
"Order ID","Order ID"
"Preapproved Payment ID","Preapproved Payment ID"
"Subscription ID","Subscription ID"
"Credit","Credit"
"Debit","Debit"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"Account-to-Account Payment, initiated by PayPal","Account-to-Account Payment, initiated by PayPal"
"Auction Payment other than through eBay","Auction Payment other than through eBay"
"AutoSweep","AutoSweep"
"Available Balance","Available Balance"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Bonus for first ACH Use","Bonus for first ACH Use"
"Buyer Credit Payment","Buyer Credit Payment"
"Charge-off","Charge-off"
"Coupon Redemption","Coupon Redemption"
"Currency Conversion required to cover negative balance","Currency Conversion required to cover negative balance"
"Debit Card Cash Back","Debit Card Cash Back"
"Debit Card Transaction","Debit Card Transaction"
"Direct Payment API","Direct Payment API"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Express Checkout APIs","Express Checkout APIs"
"Fee Reversal","Fee Reversal"
"Fee: Foreign ACH Withdrawal","Fee: Foreign ACH Withdrawal"
"Fee: Mass Pay Request","Fee: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly","Fee: Web Site Payments Pro Account Monthly"
"Fee: WorldLink Check Withdrawal","Fee: WorldLink Check Withdrawal"
"Funding","Funding"
"General (Authorization)","General (Authorization)"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","General (Funds Transfer from PayPal Account to Another)"
"General (Purchase with a credit card)","General (Purchase with a credit card)"
"General Adjustment without businessrelated event","General Adjustment without businessrelated event"
"General Currency Conversion","General Currency Conversion"
"General Funding of PayPal Account","General Funding of PayPal Account"
"General Redemption","General Redemption"
"General Withdrawal from PayPal Account","General Withdrawal from PayPal Account"
"General. Product no longer supported","General. Product no longer supported"
"General: Use of PayPal account for purchasing as well as receiving payments","General: Use of PayPal account for purchasing as well as receiving payments"
"General: Withdrawal from PayPal Account","General: Withdrawal from PayPal Account"
"General: Withdrawal to Non-Bank Entity","General: Withdrawal to Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Gift Certificate Payment: purchase of Gift Certificate","Gift Certificate Payment: purchase of Gift Certificate"
"Gift Certificate Redemption","Gift Certificate Redemption"
"Hidden Virtual PayPal Debit Card Transaction","Hidden Virtual PayPal Debit Card Transaction"
"Hold for Dispute Investigation","Hold for Dispute Investigation"
"Incentive","Incentive"
"Mass Pay Payment","Mass Pay Payment"
"Merchant Referral Bonus","Merchant Referral Bonus"
"Mobile Payment (made via a mobile phone)","Mobile Payment (made via a mobile phone)"
"Negative Balance","Negative Balance"
"Open Authorization","Open Authorization"
"PayPal Balance Manager function of PayPal account","PayPal Balance Manager function of PayPal account"
"PayPal Buyer Warranty Bonus","PayPal Buyer Warranty Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Protection Bonus","PayPal Protection Bonus"
"Payment Refund initiated by merchant","Payment Refund initiated by merchant"
"Points Incentive Redemption","Points Incentive Redemption"
"Postage Payment to either USPS or UPS","Postage Payment to either USPS or UPS"
"Preapproved Payment (BillUser API, either sent or received","Preapproved Payment (BillUser API, either sent or received"
"Reauthorization","Reauthorization"
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Reward Voucher Redemption","Reward Voucher Redemption"
"Settlement Consolidation","Settlement Consolidation"
"Subscription Payment, either payment sent or payment received","Subscription Payment, either payment sent or payment received"
"User-initiated Currency Conversion","User-initiated Currency Conversion"
"Virtual PayPal Debit Card Transaction","Virtual PayPal Debit Card Transaction"
"Virtual Terminal Payment","Virtual Terminal Payment"
"Void","Void"
"WorldLink Withdrawal","WorldLink Withdrawal"
"eBay Auction Payment","eBay Auction Payment"
"The PayPal certificate file is empty.","The PayPal certificate file is empty."
"Header (center)","Header (center)"
"Sidebar (right)","Sidebar (right)"
"Near PayPal Credit checkout button","Near PayPal Credit checkout button"
"--Please Select--","-- Выберите --"
"Daily","Ежедневно"
"Every 3 days","Каждые 3 дня"
"Every 7 days","Каждые 7 дней"
"Every 10 days","Каждые 10 дней"
"Every 14 days","Каждые 14 дней"
"Every 30 days","Каждые 30 дней"
"Every 40 days","Каждые 40 дней"
"No Logo","No Logo"
"Yes (PayPal recommends this option)","Yes (PayPal recommends this option)"
"Created billing agreement #%1.","Created billing agreement #%1."
"We can't create a billing agreement for this order.","We can't create a billing agreement for this order."
"Pending PayPal","Pending PayPal"
"PayPal Reversed","PayPal Reversed"
"PayPal Canceled Reversal","PayPal Canceled Reversal"
"Error","Ошибка"
"Billing Agreement","Billing Agreement"
"Please Select","Please Select"
"Customer","Клиент"
"Created At","Created At"
"Updated At","Updated At"
"ending","ending"
"expires","expires"
"Not sure what PayPal payment method to use? Click","Not sure what PayPal payment method to use? Click"
"here","here"
"to learn more.","to learn more."
"Important:","Important:"
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Billing Agreement #","Billing Agreement #"
"Agreement Information","Agreement Information"
"Reference ID:","Reference ID:"
"Status:","Статус:"
"Created:","Создан:"
"Updated:","Updated:"
"Payment Method:","Payment Method:"
"Order #","Заказ #"
"Date","Дата"
"Ship To","Ship To"
"Order Status","Order Status"
"View Order","View Order"
"Back to Billing Agreements","Back to Billing Agreements"
"Payment Method","Метод оплаты"
"View","View"
"There are no billing agreements yet.","There are no billing agreements yet."
"New Billing Agreement","New Billing Agreement"
"You will be redirected to the payment system website.","You will be redirected to the payment system website."
"-- Please Select --","-- Выберите --"
"Create...","Create..."
"Your credit card will be charged for","Your credit card will be charged for"
"Your billing agreement # is:","Your billing agreement # is:"
"Shipping Method","Способ доставки"
"Please select a shipping method...","Please select a shipping method..."
"Update Shipping Method","Update Shipping Method"
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now."
"Shipping Address","Адрес доставки"
"Edit","Редактировать"
"Buy now with PayPal","Buy now with PayPal"
