"General: Withdrawal to Non-Bank Entity","General: Retirada de fondos a una Entidad No Bancaria"
"General: adjustment of a type not belonging to the other T12xx categories","General: ajuste de una clase no perteneciente a las otras T12xx categorías"
"General: bonus of a type not belonging to the other T08xx categories","General: bonificación de una clase no perteneciente a las otras T08xx categorías"
"General: event not yet categorized","General: suceso no catalogado aún"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: tarifa de impago de una clase no perteneciente a las otras T01xx categorías"
"General: received payment of a type not belonging to the other T00xx categories","General: pago recibido de una clase no perteneciente a las otras T00xx categorías"
"General: reversal of a type not belonging to the other T11xx categories","General: revocación de una clase no perteneciente a las otras T01xx categorías"
"General: temporary hold of a type not belonging to the other T15xx categories","General: cargo temporal de una clase no perteneciente a las otras T15xx categorías"
"Gift Certificate Payment: purchase of Gift Certificate","Pago de cheque regalo: compra de cheque regalo"
"Gift Certificate Redemption","Canjear cheque regalo"
"Hidden Virtual PayPal Debit Card Transaction","Transacción oculta de tarjeta virtual de Débito PayPal"
"Hold for Dispute Investigation","Manténgase a la espera de la investigación sobre la disputa"
"Incentive","Incentivo"
"Mass Pay Payment","Pago Agrupado"
"Merchant Referral Bonus","Bonificación de referencia del comerciante"
"Mobile Payment (made via a mobile phone)","Pago móvil (realizado vía teléfono móvil)"
"Negative Balance","No disponible. Saldo negativo"
"Open Authorization","Abrir la autorización"
"PayPal Balance Manager function of PayPal account","Función del gestor de saldo de PayPal de la cuenta de PayPal"
"PayPal Buyer Warranty Bonus","Bonificación de garantía del comprador en PayPal"
"PayPal Debit Card Cash Advance","Adelanto de efectivo de una tarjeta de débito en PayPal"
"PayPal Debit Card Withdrawal from ATM","Retiro de dinero de tarjeta de débido de PayPal desde un cajero automático"
"PayPal Protection Bonus","Bono de protección de PayPal"
"Payment Refund initiated by merchant","Reembolso de Pago iniciado por el comerciante"
"Points Incentive Redemption","Puntos de incentivo por cancelación"
"Postage Payment to either USPS or UPS","Pago de los Gastos de Envío bien a USPS o a UPS"
"Preapproved Payment (BillUser API, either sent or received","Pagos previamente aprobados (BillUser API) enviados o recibidos"
"Reauthorization","Reautorización"
"Reimbursement of Chargeback","Reembolso de una transacción devuelta"
"Reversal","Inversión"
"Reversal of General Account Hold","Revocación de cargo general en cuenta"
"Reversal of Points Usage","Inversión de los puntos de utilización"
"Reversal of hold for Dispute Investigation","Reposición por la investigación de la disputa"
"Reward Voucher Redemption","Realizar canje de vales"
"Settlement Consolidation","Consolidación del acuerdo"
"Subscription Payment, either payment sent or payment received","Pago de suscripción, bien sea pago enviado o recibido."
"User-initiated Currency Conversion","Conversión de moneda iniciada por el usuario"
"Virtual PayPal Debit Card Transaction","Transacción de tarjeta de débito de PayPal virtual"
"Virtual Terminal Payment","Pago Terminal virtual"
"Void","Nulo"
"WorldLink Withdrawal","Retirada de Fondos WorldLink"
"eBay Auction Payment","Pago de subasta de eBay"
"The PayPal certificate file is empty.","El archivo de certificado PayPal está vacío."
"Header (center)","Cabecera (centro)"
"Sidebar (right)","Barra lateral (derecha)"
"Near PayPal Credit checkout button","Cerca del botón de pedido de crédito paypal"
"Daily","Diario"
"Every 3 days","Cada 3 días"
"Every 7 days","Cada 7 días"
"Every 10 days","Cada 10 días"
"Every 14 days","Cada 14 días"
"Every 30 days","Cada 30 días"
"Every 40 days","Cada 40 días"
"No Logo","Sin logotipo"
"Yes (PayPal recommends this option)","Sí (PayPal recomienda esta opción)"
"Created billing agreement #%1.","Creó acuerdo de facturación #%1."
"We can't create a billing agreement for this order.","No podemos crear un acuerdo de facturación para esta orden."
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","Pendiente de pago en PayPal"
"PayPal Reversed","PayPal Revertido"
"PayPal Canceled Reversal","PayPal canceló la revocación"
"Error","Error"
"Billing Agreement","Acuerdo de pago"
"Customer","Cliente"
"Created At","Creado en"
"Updated At","Actualicado el"
"Not sure what PayPal payment method to use? Click","¿No está seguro de qué método de pago PayPal usar? Haga clic en"
"here","aquí"
"to learn more.","para obtener más información."
"Important:","Wichtig:"
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem Sie in Ihr erweitertes PayPal-Konto eingeloggt sind, navigieren Sie zum Menü Service-Einstellungen - gehostete Checkout-Seiten  - Set Up-Menü und legen Sie die unten beschriebenen Optionen an"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Para utilizar PayPal Payflow Link, debe configurar su cuenta de PayPal Payflow Link en la Web de PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem Sie in Ihr Konto PayPal Payflow Link eingeloggt sind, navigieren Sie zum Menü Service-Einstellungen - gehostete Checkout-Seiten  - Set Up-Menü und legen Sie die unten beschriebenen Optionen an"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Expiration Date","Fecha de caducidad"
"Card Verification Number","Número de verificación de tarjeta"
"Save for later use.","Save for later use."
"Billing Agreement #","Acuerdo de facturación #"
"Agreement Information","Información del acuerdo"
"Reference ID:","ID de referencia:"
"Status:","Estado:"
"Created:","Creado:"
"Updated:","Actualizado:"
"Payment Method:","Forma de pago"
"Order #","Pedido nº"
"Date","Fecha"
"Ship To","Enviar a"
"Order Status","Estado de pedido"
"View Order","Ver pedido"
"Back to Billing Agreements","Volver a los contratos de facturación"
"Payment Method","Método de pago"
"View","Ver"
"There are no billing agreements yet.","Todavía no hay acuerdos de facturación."
"New Billing Agreement","Nuevo acuerdo de facturación"
"You will be redirected to the payment system website.","Usted será redirigido a la página web del sistema de pago."
"Create...","Crear..."
"Your credit card will be charged for","Se cargará en su tarjeta de crédito"
"Your billing agreement # is:","El número de acuerdo de facturación es:"
"Shipping Method","Método de envío"
"Please select a shipping method...","Por favor, elija un método de envío..."
"Update Shipping Method","Actualizar modo de envío"
"Sorry, no quotes are available for this order right now.","Lo sentimos, no hay cotizaciones disponibles para este pedido en este momento."
"Shipping Address","Dirección de envío"
"Edit","Editar"
"Buy now with PayPal","Comprar con PayPal"
"Edit Payment Information","Editar la información de pago"
"Items in Your Shopping Cart","Artículos en su carro de compras"
"Edit Shopping Cart","Editar carro de compras"
"Place Order","Realizar pedido"
"Submitting order information...","Enviando la información del pedido..."
"Item","Articulo"
"Price","Precio"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Please update order data to get shipping methods and rates","Por favor, actualice los datos del pedido para obtener métodos de envío y tarifas"
"or","o"
"Checkout with PayPal","Realizar pago con PayPal"
"Please do not refresh the page until you complete payment.","No actualice la página hasta que complete el pago."
"You will be required to enter your payment details after you place an order.","Se le solicitará que introduzca los detalles del pago tras realizar el pedido."
"Continue","Continuar"
"Additional Options","Opciones adicionales"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"Acceptance Mark","Señal de aceptación"
"What is PayPal?","¿Qué es PayPal?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Firma un acuerdo de facturación para agilizar futuras compras con PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Firma un acuerdo de facturación para agilizar futuras compras con PayPal."
"Continue to PayPal","Continuar en PayPal"
"Save credit card information for future use.","Guarde la información de su tarjeta de crédito para usarla en el futuro."
"Sorry, something went wrong.","Lo sentimos, algo salió mal."
"Sorry, something went wrong. Please try again later.","Lo sentimos, algo salió mal. Por favor Inténtelo más tarde."
"PayPal Section","Sección de PayPal"
"PayPal Settlement","Liquidamiento de PayPal"
"Fetch","Obtener"
"Actions","Acciones"
"Manage","Administrar"
"Place Order Using Billing Agreements","Hacer el pedido utilizando los acuerdos de facturación"
"Orders","Pedidos"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","Ubicación del minorista"
"Merchant Country","País de envío"
"If not specified, Default Country from General Config will be used","Si no se especifica, use el país por defecto de la configuración general."
"Recommended Solutions:","Soluciones recomendadas:"
"Other PayPal Payment Solutions:","Otras soluciones de pago de PayPal:"
"Other Payment Methods:","Otros métodos de pago:"
"PayPal Express Checkout","Pago exprés de PayPal"
"Add another payment method to your existing solution or as a stand-alone option.","Añada otro método de pago a sus actuales soluciones o como una opción independiente."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Soluciones de pago todo en uno de PayPal&nbsp;<i>Acepte y procese tarjetas de crédito y pagos de PayPal.</i>"
"Choose a secure bundled payment solution for your business.","Elija una solución de pago por lotes segura para su empresa."
"Payments Pro","Payments Pro"
"Payments Pro and Express Checkout","Payments Pro y Pago exprés"
"Basic Settings - PayPal Payments Pro","Ajustes básicos: PayPal Payments Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","Pasarelas de pago de PayPal&nbsp;<i>Procese los pagos utilizando su propia cuenta mercantil de Internet.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Soluciones de pago todo en uno de PayPal&nbsp;&nbsp;<i>Acepte y procese tarjetas de crédito y pagos de PayPal.</i>"
"Accept payments with a completely customizable checkout page.","Acepta pagos con una página de procesos de compra en línea completamente personalizable."
"Process payments using your own internet merchant account.","Procese pagos mediante su propia cuenta de minorista en internet."
"Website Payments Pro","Pagos web Pro"
"Express Checkout","Paso por Caja Express"
"Add PayPal as an additional payment method to your checkout page.","Añada PayPal como método de pago adicional a su página de procesos de compra en línea."
"Required PayPal Settings","Configuración obligatoria de PayPal"
"Email Associated with PayPal Merchant Account (Optional)","Correo electrónico asociado con la cuenta de minorista de PayPal (opcional)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">¡Empiece a aceptar pagos a través de PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","¿No tiene una cuenta PayPal? Simplemente introduzca su dirección de correo electrónico."
"API Authentication Methods","Métodos de autenticación API"
"API Username","Nombre de usuario API"
"API Password","Contraseña API"
"Get Credentials from PayPal","Obtenga sus credenciales de PayPal"
"Sandbox Mode","Modo de prueba"
"API Uses Proxy","Proxy de usos API"
"Proxy Host","Servidor Proxy"
"Proxy Port","Puerto proxy"
"Enable this Solution","Habilitar esta solución"
"Enable In-Context Checkout Experience","Habilitar Experiencia de Compra en Contexto"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","Ver detalles de compatibilidad con la función PayPal y lista de regiones compatibles <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank""> aquí</a>."
"Merchant Account ID","ID de cuenta Merchant"
"Enable PayPal Credit","Habilitar crédito de PayPal"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout le permite brindarles a los clientes acceso a financiamiento a través de PayPal Credit&#174; - sin costo adicional para usted.
                        Se le paga por adelantado, a pesar de que los clientes tienen más tiempo para pagar. Un botón de pago preintegrado permite a los clientes pagar rápidamente con PayPal Credit&#174;.
                         <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank""> Más información </a>"
"Sort Order PayPal Credit","Organizar orden de Paypal Credit"
"Advertise PayPal Credit","Anuncian crédito PayPal"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué financiar publicidad?</a><br/>
                         <strong> Aumente sus ventas cuando publicite financiación. </strong><br/> PayPal ayuda a convertir navegadores en compradores con financiación
                        de PayPal Credit&#174; Sus clientes tienen más tiempo para pagar, mientras que se les paga por adelantado, sin costo adicional para usted.
                        Use los anuncios de banner gratuitos de PayPal que le permiten anunciar PayPal Credit&#174; Financiamiento como una opción de pago cuando sus clientes pagan con PayPal.
                        Se ha demostrado que el Programa de publicidad de PayPal genera compras adicionales y aumenta el tamaño promedio de compra del consumidor en un 15%
                        o más. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver detalles </a>."
"Publisher ID","ID de editor"
"Required to display a banner","Necesario para mostrar un banner"
"Get Publisher ID from PayPal","Obtenga la ID del editor de PayPal"
"Home Page","Página de inicio"
"Display","Mostrar"
"Position","Posición"
"Size","Tamaño"
"Catalog Category Page","Página de categorías del catálogo"
"Catalog Product Page","Página de artículos del catálogo"
"Checkout Cart Page","Página de pedidos de la cesta"
"Basic Settings - PayPal Express Checkout","Ajustes básicos: Pago exprés de PayPal"
"Title","Título"
"It is recommended to set this value to ""PayPal"" per store views.","Se recomienda fijar este valor en ""PayPal"" por vistas de tienda."
"Sort Order","Orden de aparición"
"Payment Action","Acción de pago"
"Display on Product Details Page","Mostrar en páginas de detalles del artículo"
"Authorization Honor Period (days)","Período de autorización (días)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica cuál es el período de autorización de la cuenta de PayPal del comerciante. Tiene que ser igual a la configuración de PayPal."
"Order Valid Period (days)","Período válido del pedido (días)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica cuál es el período de validez del pedido de la cuenta de PayPal del comerciante. Tiene que ser igual a la configuración de PayPal."
"Number of Child Authorizations","Número de autorizaciones infantiles"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","El número de autorizaciones infantiles por defecto de su cuenta de PayPal es 1. Para tener autorizaciones múltiples, póngase en contacto con PayPal para solicitar un aumento."
"Advanced Settings","Configuración avanzada"
"Display on Shopping Cart","Mostrar en carrito de compras"
"Also affects mini-shopping cart.","También afecta al mini-carro de la compra."
"Payment Applicable From","Pago posible desde"
"Countries Payment Applicable From","Países desde los que es posible el pago"
"Debug Mode","Modo depuración"
"Enable SSL verification","Habilitar verificación SSL"
"Transfer Cart Line Items","Transferir la línea de los artículos en el carrito"
"Transfer Shipping Options","Transferir las opciones de envío"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Si se activa esta opción, el cliente podrá cambiar la dirección y el método de envío desde el sitio de Internet de PayPal. La modalidad en vivo funciona sólo a través de protocolo HTTPS."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Tenga en cuenta que PayPal puede gestionar hasta 10 opciones de envío. Por eso Magento solamente transferirá las primeras 10 opciones de envío más baratas si hay mas de 10 opciones disponibles."
"Shortcut Buttons Flavor","Tipo de Botones de Atajo"
"Enable PayPal Guest Checkout","Habilitar proceso de pago Paypal para visitantes"
"Ability for buyer to purchase without PayPal account.","Capacidad del comprador para comprar sin cuenta PayPal."
"Require Customer's Billing Address","Exija la dirección de facturación del cliente"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Esta característica necesita primero ser activada para la cuenta comercial a través del soporte técnico de PayPal."
"Billing Agreement Signup","Firma de acuerdo de facturación"
"Whether to create a billing agreement, if there are no active billing agreements available.","Opción de creación de un contrato de facturación, si no hay contratos de facturación activos disponibles."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Los comerciantes deben enviar una solicitud a PayPal para habilitar la función de acuerdos de facturación. No habilite esta opción hasta que PayPal confirme que los acuerdos de facturación están habilitados para su cuenta de comerciante."
"Skip Order Review Step","Saltar el paso de resumen del pedido"
"PayPal Billing Agreement Settings","Configuración del acuerdo de facturación de PayPal"
"Enabled","Habilitado"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Aparecerá como una opción de pago solo para clientes que tengan al menos un acuerdo de facturación activo."
"Allow in Billing Agreement Wizard","Permitir el asistente de acuerdo de facturación"
"Settlement Report Settings","Ajustes del informe de liquidación"
"SFTP Credentials","Credenciales SFTP"
"Login","Entrar"
"Password","Contraseña"
"Custom Endpoint Hostname or IP-Address","Dirección IP o nombre de servidor de destino personalizado"
"By default it is ""reports.paypal.com"".","Por defecto es ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Utilice dos puntos para especificar el puerto. Por ejemplo: ""prueba.ejemplo.com:5224""."
"Custom Path","Ruta personalizada"
"Scheduled Fetching","Compra programada"
"Enable Automatic Fetching","Habilitar acceso automático"
"Schedule","Programa"
"PayPal retains reports for 45 days.","PayPal almacena los informes durante 45 días."
"Time of Day","Hora del día"
"Frontend Experience Settings","Ajustes de la experiencia con fachada"
"PayPal Product Logo","Logotipo del producto en PayPal"
"Displays on catalog pages and homepage.","Muestra en las páginas de catálogo y página web."
"PayPal Merchant Pages Style","Estilo de la página de la tienda en PayPal"
"Page Style","Estilo de página"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores admitidos: ""paypal"", ""primary"" (default), your_custom_value (un estilo de página de pago personalizado de su perfil de cuenta mercantil)."
"Header Image URL","URL de la imagen de la cabecera"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","La imagen en la parte superior izquierda de la página de pago. Tamaño máximo es 750 x 90 píxeles. El uso de <strong style=""color:red""> https</strong> es muy recomendado."
"Header Background Color","Color de fondo de cabecera"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Color de fondo para la cabecera de la página de pago. Código ASCII de color hexadecimal HTML de seis caracteres sin diferencias mayúsculas o minúsculas."
"Header Border Color","Color del borde de la cabecera"
"2-pixel perimeter around the header space.","Perímetro de 2 píxeles alrededor del espacio de cabera."
"Page Background Color","Color del fondo de página"
"The background color for the checkout page around the header and payment form.","El color de fondo de la página de reembolso de la cabecera y formulario de pago."
"Payments Advanced","Pagos avanzados"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Acepta pagos con una extracción compatible con PCI que mantiene a los clientes en su sitio. (<u>Incluye Express Checkout</u>)"
"Payments Advanced and Express Checkout","Pago avanzado y Express Checkout"
"Partner","Socio"
"Vendor","Vendedor"
"User","Usuario"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recomienda que configure otro usuario en su cuenta en manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recomienda que configure otro usuario en su cuenta en manager.paypal.com, en lugar de introducir su nombre de usuario de administrador y su contraseña aquí. Esto mejorará el grado de seguridad y evitará interrupciones del servicio si cambia la contraseña posteriormente. Si no desea configurar otro usuario, puede volver a introducir su nombre de usuario minorista aquí."
"Test Mode","Modo de prueba"
"Use Proxy","Utilizar Proxy"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué anunciar financiamiento?</a><br/>
                                            <strong>Mejore sus ventas cuando anuncie financiamiento.</strong><br/>PayPal ayuda a convertir navegadores en compradores con financiamiento
                                            de crédito de PayPal&#174; Sus clientes tienen más tiempo para pagar, mientras que a usted se le paga por adelantado, sin costo adicional para usted.
                                            Use los anuncios de banner gratuitos de PayPal que le permiten anunciar el crédito de PayPal&#174; financiamiento como una opción de pago cuando sus clientes pagan con PayPal.
                                            Se ha demostrado que el Programa de publicidad de PayPal genera compras adicionales y aumenta el tamaño promedio de compra del consumidor en un 15%
                                            o más.<a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Ver detalles</a>."
"Basic Settings - PayPal Payments Advanced","Ajustes básicos: Pagos avanzados con PayPal"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Se recomienda fijar este valor en ""Tarjeta de débito o crédito"" por vistas de tienda."
"CVV Entry is Editable","La entrada de CVV es editable."
"Require CVV Entry","Requiere el código de seguridad de la tarjeta"
"Send Email Confirmation","Enviar confirmación por correo electrónico"
"URL method for Cancel URL and Return URL","Método de URL para URL de cancelación y URL de retorno"
"Payflow Link","Enlace de Payflow"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Conecte su cuenta de comerciante con una puerta de enlace compatible con PCI que permita a los clientes pagar sin salir de su sitio. (<u>Incluye Pago exprés</u>)"
"Payflow Link and Express Checkout","Payflow Link y Express Checkout"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Si no ha configurado diversos usuarios en su cuenta, vuelva a introducir el nombre de usuario del vendedor/minorista aquí."
"Enable Payflow Link","Habilitar el enlace de Payflow"
"Enable Express Checkout","Habilitar el pago exprés"
"Basic Settings - PayPal Payflow Link","Ajustes básicos: Enlace de PayPal Payflow"
"Website Payments Pro Hosted Solution","Solución Hospedada de Pagos Web Pro"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Acepte pagos con un pago compatible con PCI que mantenga a los clientes en su sitio. (<u>Incluye Pago exprés</u>)"
"Payments Pro Hosted Solution","Solución alojada de Payments Pro"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué financiar publicidad?</a><br/>
                         <strong> Aumente sus ventas cuando publicite financiación. </strong><br/> PayPal ayuda a convertir navegadores en compradores con financiación
                        de PayPal Credit&#174; Sus clientes tienen más tiempo para pagar, mientras que se les paga por adelantado, sin costo adicional para usted.
                        Use los anuncios de banner gratuitos de PayPal que le permiten anunciar PayPal Credit&#174; Financiamiento como una opción de pago cuando sus clientes pagan con PayPal.
                        Se ha demostrado que el Programa de publicidad de PayPal genera compras adicionales y aumenta el tamaño promedio de compra del consumidor en un 15%
                        o más. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver detalles </a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","Ajustes básicos: Solución alojada de Payments Pro de PayPal"
"Display Express Checkout in the Payment Information step","Mostrar pago exprés en la pantalla de información del pago"
"Website Payments Pro Hosted Solution and Express Checkout","Solución alojada de Website Payments Pro y Pago exprés"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Ajustes básicos: Solución alojada de Website Payments Pro de PayPal"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Conecte su cuenta de comerciante con una puerta de enlace totalmente personalizable que permita a los clientes pagar sin salir de su sitio. (<u>Incluye Pago exprés</u>)"
"Vault Enabled","Bóveda habilitada"
"Basic Settings - PayPal Payflow Pro","Ajustes básicos: Payflow Pro de PayPal"
"Vault Title","Título de la bóveda"
"Credit Card Settings","Configuración de la tarjeta de crédito"
"Allowed Credit Card Types","Tipos de tarjetas de crédito permitidos"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","La admisión de tarjetas American Express requiere de un acuerdo adicional. Consulte los requisitios en <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","Ajustes CVV y AVS"
"Reject Transaction if:","Rechazar la transacción si:"
"AVS Street Does Not Match","Calle AVS no coincide"
"AVS Zip Does Not Match","AVS Zip no coincide"
"Card Issuer Is Outside The United States","Emisor de la tarjeta está fuera de los Estados Unidos"
"Card Security Code Does Not Match","Código de seguridad de la tarjeta no coincide"
"Payflow Pro and Express Checkout","Payflow Pro y Pago exprés"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué financiar publicidad?</a><br/>
                         <strong> Aumente sus ventas cuando publicite financiación. </strong><br/> PayPal ayuda a convertir navegadores en compradores con financiación
                        de PayPal Credit&#174; Sus clientes tienen más tiempo para pagar, mientras que se les paga por adelantado, sin costo adicional para usted.
                        Use los anuncios de banner gratuitos de PayPal que le permiten anunciar PayPal Credit&#174; Financiamiento como una opción de pago cuando sus clientes pagan con PayPal.
                        Se ha demostrado que el Programa de publicidad de PayPal genera compras adicionales y aumenta el tamaño promedio de compra del consumidor en un 15%
                        o más. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver detalles </a>."
"Not you?","¿No es Usted?"
"Your shopping cart has been updated with new prices.","Su carro de compras se ha actualizado con nuevos precios."
"Welcome, %1!","¡Bienvenido, %1!"
"We cannot load the configuration from file %1.","No podemos cargar la configuración del archivo %1."
"Method ""%1"" is not defined in ""%2""","Método ""%1"" no está definido en ""%2"""
"To check out, please sign in using your email address.","Para hacer check out, por favor ingrese usando su cuenta de correo."
"Remember Me","Recordarme"
"What's this?","¿Qué es esto?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Selecciona \'Recordarme\' para accesar a tu carrito de compras en esta computadora incluso si no has iniciado sesión."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Selecciona 'Recordarme' para acceder a tu carrito de compras en este ordenador incluso si no has iniciado sesión."
"Persistent Shopping Cart","Carrito de compras persistente"
"General Options","Opciones generales"
